DI,Craftsmanship,EraConstructed
228,5,1320
229,5,1258
230,5,1389
231,8,1478
232,7,1433
233,9,1599
234,8,1643
235,5,1074
236,6,1207
237,8,1162
238,6,1592
239,5,1313
240,5,1170
241,5,1355
242,5,1500
243,7,1724
244,8,1705
245,5,1364
246,8,1532
247,7,1404
248,8,1717
249,6,1568
250,8,1723
251,4,1189
252,8,1502
253,6,1247
254,8,1795
255,4,1492
256,6,1408
257,5,1032
258,7,1490
259,7,1571
259,7,1571
260,7,1671
261,8,1434
262,8,1774
263,5,1239
264,6,1523
265,8,1709
266,7,1432
267,7,1452
268,5,1188
269,5,1337
270,7,1767
271,5,1400
272,6,1704
273,4,1074
274,7,1585
275,5,1296
276,5,1131
277,5,1228
278,6,1652
279,3,1193
280,7,1700
281,5,1159
282,8,1428
283,5,1149
284,5,1271
285,5,1116
286,9,1446
287,4,1069
288,4,1021
289,5,1381
290,7,1690
291,8,1678
292,6,1586
293,6,1533
294,5,1398
295,5,1319
296,5,1244
297,5,1060
298,5,1111
299,8,1626
300,5,1301
301,4,1320
302,7,1665
303,4,1220
304,6,1327
305,5,1195
306,6,1013
307,6,1014
308,5,1261
309,9,1747
310,6,1284
311,5,1264
312,7,1577
313,6,1194
314,6,1144
315,7,1567
316,7,1688
317,7,1666
318,6,1022
319,5,1008
320,6,1610
321,5,1304
321,5,1304
322,6,1117
323,7,1632
324,7,888
325,6,1013
326,5,1058
326,5,1058
327,7,1514
328,6,1436
329,6,1448
330,4,1221
331,5,1052
332,6,1157
333,4,890
334,6,1098
335,5,1069
336,6,1138
337,5,1466
338,6,1274
339,6,1271
340,5,1278
341,4,1344
342,6,1090
343,4,1060
344,1,1077
345,6,1468
346,5,1236
347,6,1473
348,5,1151
349,6,1610
350,5,1395
351,7,1292
352,6,1598
353,4,1220
354,4,1362
355,4,1014
356,6,1287
357,3,1199
358,7,1715
359,6,1454
360,7,1576
361,7,1775
362,4,1283
363,6,1080
364,5,1351
365,5,1285
366,5,1360
367,8,1434
368,5,1176
369,5,1174
370,6,1120
371,8,1790
372,7,1486
373,6,1141
374,5,1478
375,7,1572
376,6,1774
377,7,1216
378,5,1503
379,8,1570
380,6,1340
381,5,1161
382,7,1465
383,6,1477
384,5,1378
385,5,1385
386,9,1775
387,6,1428
388,5,922
389,5,1455
390,7,1767
391,5,1687
392,9,1695
393,7,1608
394,7,1557
395,4,1042
396,7,1732
397,7,1562
398,6,1091
399,5,1022
400,5,1089
401,9,1725
402,5,1031
403,5,1257
404,6,1662
405,6,1040
406,4,1063
407,7,1457
408,6,1131
409,5,1013
410,6,1012
411,7,1563
412,9,1660
413,6,1311
414,8,1677
415,4,1308
416,6,1514
417,8,1618
418,5,1439
419,7,1548
420,6,1465
421,5,1093
422,7,1464
423,5,1244
424,7,1685
425,7,1478
426,5,1224
427,4,1551
428,8,1671
429,8,1726
430,7,1452
431,5,1425
432,6,1289
433,7,1719
434,7,1000
435,5,1391
436,5,1332
437,5,1213
438,6,1442
439,5,1202
440,5,1378
441,5,1384
442,5,1151
443,7,1690
444,7,1437
445,6,1366
446,8,1677
447,8,1794
448,7,887
449,5,1286
450,4,1211
451,5,1221
452,4,1315
453,4,1191
454,7,1649
455,6,1327
456,7,1307
457,6,1467
458,5,1262
459,6,1607
460,5,1215
461,5,1270
462,8,1744
463,7,1454
464,9,1601
465,7,1403
466,9,1624
467,5,1050
468,5,1308
468,5,1308
469,7,1559
470,10,895
471,7,1734
472,5,1327
473,5,1070
474,5,1256
475,6,1314
475,6,1314
476,7,1784
477,7,1727
478,7,1531
479,10,1669
480,4,1297
481,6,1504
482,5,1072
483,7,1726
484,5,1142
485,6,1407
486,8,1631
487,4,1046
488,5,1010
489,7,1492
490,5,1313
491,5,1021
492,8,1782
493,7,1726
494,6,1211
495,6,1533
496,7,1462
497,3,1132
498,7,1676
499,5,1459
500,6,1065
501,7,1686
502,6,1019
503,5,1377
504,6,1005
505,4,1099
506,6,1250
507,5,1222
508,5,1212
509,7,1599
510,6,1215
511,8,1400
512,5,1033
512,5,1033
513,5,1324
514,5,1419
515,5,1388
516,5,1007
517,7,1295
518,6,1118
519,8,1730
520,5,1375
521,6,1729
522,6,1501
523,6,1410
524,6,1162
525,8,1458
526,6,1537
527,5,1213
528,9,1631
529,9,1788
530,5,951
531,6,1525
532,5,1304
533,6,1200
534,5,1294
535,5,1178
536,6,1275
537,7,1676
538,6,1509
539,10,1468
540,5,1396
541,5,1278
542,7,1431
543,7,1391
544,10,1747
545,7,1332
546,5,1382
547,5,967
548,6,1639
549,7,1609
550,4,1334
551,8,1514
552,8,1546
553,6,1387
554,7,1628
555,7,1684
556,8,1544
557,5,1318
558,6,1608
559,6,1316
560,7,1274
561,6,1188
562,6,1529
563,5,1703
564,6,1454
565,9,1625
566,7,1576
567,6,1201
568,6,1722
569,7,1656
570,6,1285
571,6,1194
572,5,1311
573,4,1150
574,7,1769
575,7,1186
576,5,1075
577,5,1308
578,5,1305
579,6,1023
580,9,1669
581,6,1792
582,7,1703
583,7,1082
584,6,1364
585,6,1699
586,8,1522
587,6,1315
588,5,1282
589,6,1501
590,6,1458
591,4,1176
592,6,1287
593,5,1191
594,5,1781
595,5,1417
596,7,1451
597,4,1242
598,7,1335
599,5,1399
600,5,1223
601,6,1464
602,6,1096
603,5,1068
604,7,1733
605,7,1777
606,7,1038
607,5,1212
608,6,1176
609,9,1585
610,5,1072
611,6,1423
612,4,1390
613,5,1020
614,6,1356
615,6,1272
616,6,1411
617,7,1617
618,6,1467
619,5,1478
620,8,1546
621,7,1740
622,6,1415
623,4,1043
624,6,1271
625,5,1322
626,6,1615
627,7,1468
628,5,1231
629,5,1390
630,9,1619
631,4,1323
632,9,1507
633,6,1332
634,5,1378
635,5,1329
636,6,1177
637,8,1735
638,5,1253
639,7,1711
640,6,1306
641,5,1259
642,6,1363
643,6,1101
644,7,1660
645,6,1086
646,7,1575
647,6,1247
648,6,1363
649,7,1325
649,7,1325
650,7,1536
651,8,1781
652,6,1402
653,7,1770
654,5,1345
655,7,1291
656,5,1207
657,8,1767
658,5,1345
659,9,1716
660,6,1424
661,8,1576
662,6,1401
663,7,1478
664,6,1329
665,5,1221
666,8,1708
667,4,1295
668,4,1000
669,8,1640
670,5,1193
671,5,1360
672,6,1798
673,5,1350
674,6,1061
675,6,1242
676,5,1084
677,5,1239
678,8,1733
679,4,1057
680,7,1550
681,8,1749
682,6,1247
683,6,1217
684,6,1587
685,6,1363
686,6,1520
687,6,1239
688,6,1346
689,5,1381
690,6,1195
691,5,1109
692,7,1777
693,8,1415
694,5,1324
695,5,1382
696,6,1225
697,5,1131
698,4,1333
699,6,1129
700,8,1355
701,7,1570
702,7,1627
703,6,1799
704,8,1661
705,7,1065
706,5,1351
707,7,1670
708,5,1315
709,6,1304
710,5,1193
711,8,1608
712,8,1343
713,5,1399
714,6,1325
715,4,1136
716,5,1179
717,7,1214
718,7,1549
719,5,1034
720,3,1167
721,5,1331
722,7,1530
723,3,1172
724,6,1491
725,5,1109
726,7,1508
727,8,1791
728,5,1298
729,6,1400
730,7,1751
731,5,1286
732,5,1314
732,5,1314
733,6,1766
734,6,1454
735,7,1492
736,5,1168
737,8,1480
738,8,1561
739,6,1160
740,5,1247
741,8,1611
742,5,1269
743,6,1060
744,5,1387
745,6,1458
746,5,1296
747,5,1247
748,9,1618
749,8,1748
750,4,1245
751,8,1786
752,10,1607
753,10,1619
754,4,1058
755,7,1779
756,7,1466
757,7,1567
758,5,1270
759,8,1702
760,7,1477
761,6,1464
762,4,1153
763,3,1054
764,8,931
765,5,1227
766,7,1694
767,6,1311
768,5,1527
769,5,1113
770,5,1437
771,5,1263
772,6,1339
773,9,1589
774,5,1079
775,8,1483
776,6,1217
777,5,1245
778,9,1738
779,5,1394
780,4,1300
781,6,1308
782,6,1366
783,5,1285
784,7,1524
785,7,1666
786,6,1014
787,5,1391
788,5,1185
789,5,1053
790,6,1799
791,8,1694
792,7,1648
793,7,1794
794,6,1151
795,6,1602
796,5,1351
797,6,1400
798,9,1613
799,9,1714
800,10,1681
801,10,903
802,6,1413
803,5,1364
804,4,1048
805,7,1499
806,5,1057
807,9,1659
808,5,1387
809,4,1304
810,6,1567
811,8,1776
812,6,1173
813,5,1388
814,7,1737
815,8,1426
816,6,1293
817,5,1272
818,9,1754
819,6,1068
820,7,1089
821,6,1588
822,5,1170
823,6,1773
824,5,1287
825,6,1054
826,6,1242
827,8,1021
828,6,1547
829,6,1313
830,4,1393
831,4,1084
832,6,1354
833,5,1299
834,5,1245
835,4,998
836,6,1346
837,8,1794
838,8,1473
839,5,1016
840,5,1420
841,7,1795
842,5,1055
843,7,1713
844,9,1747
845,8,1769
846,3,1124
847,6,1773
848,5,1316
849,6,1481
850,6,1680
851,5,1372
852,5,1366
853,8,1708
854,8,1727
855,8,1587
856,5,1206
857,8,1441
858,7,1341
859,4,1102
860,10,1689
861,4,1094
862,4,1292
863,5,1355
864,5,1472
865,5,1260
866,6,1782
867,5,1604
868,6,1362
869,6,1415
870,5,1306
871,6,1533
872,8,1562
873,6,1342
874,5,1204
875,7,1576
876,8,1772
877,7,1768
878,5,1213
879,5,1207
880,5,1270
881,7,1472
882,5,1300
883,4,1371
884,5,1222
885,3,1241
886,7,1745
887,7,1517
888,7,1236
889,7,1686
890,5,1133
891,8,1649
892,9,1742
893,7,1617
894,8,1457
895,6,1523
896,7,1554
897,8,1478
898,6,1170
899,6,1291
900,5,1222
901,4,1192
902,6,1462
903,7,1537
904,5,1383
905,6,1476
906,6,1495
907,9,1705
908,8,1754
909,7,1656
910,7,1516
911,7,1792
912,7,1786
913,2,1107
914,8,1723
915,7,1734
916,5,1711
917,5,1379
918,6,1301
919,4,1016
920,7,1159
921,6,1397
922,5,1293
923,8,1729
924,6,1445
925,7,1740
926,5,1379
927,4,1384
928,8,1044
929,8,1666
930,5,1380
931,5,1379
932,3,1035
933,6,1390
934,7,1072
935,8,1797
936,9,1752
937,7,1108
938,7,1750
939,7,1795
940,4,1356
941,5,1223
942,5,1336
943,7,1774
944,4,1333
945,5,1226
946,9,1600
947,4,1355
948,4,1309
949,4,1161
950,6,1427
951,5,1296
952,5,916
953,9,1664
954,7,1795
955,5,1200
956,8,1600
957,5,1218
958,9,1621
959,9,1613
960,5,1035
961,5,1377
962,5,1135
963,8,1753
964,5,1171
965,8,1446
966,5,1217
967,6,1213
968,8,1143
969,7,1788
970,7,1022
971,7,1688
972,9,1606
973,8,1571
974,6,1313
975,5,1043
976,5,1247
977,7,1270
978,5,1269
979,6,1547
980,5,1242
981,7,1630
982,5,1187
983,5,1345
984,8,1446
985,5,1308
986,6,1415
987,6,1234
988,5,1221
989,6,1119
990,7,1797
991,5,1244
992,7,1470
993,3,1134
994,8,1522
995,7,1646
996,5,1348
997,8,1727
998,8,1477
999,5,1160
1000,7,1590
1001,6,1352
1002,5,1576
1003,6,1786
1004,5,1354
1005,9,1759
1006,10,1743
1007,8,1626
1008,5,1313
1009,7,1559
1010,7,1631
1011,5,1289
1012,6,1414
1013,7,1566
1014,7,1104
1015,6,1030
1016,6,1168
1017,4,1191
1018,5,1302
1019,7,1745
1020,7,1425
1021,6,1360
1022,5,1059
1023,4,1233
1024,7,1277
1025,8,1555
1026,7,1461
1027,5,1453
1028,6,1206
1029,7,1488
1030,5,1034
1031,5,1387
1032,7,1546
1033,7,1665
1034,5,1533
1035,5,1428
1036,5,1303
1037,8,1750
1038,5,1204
1039,6,1369
1040,5,1218
1041,7,1413
1042,8,1525
1043,7,1714
1044,7,1665
1045,7,1708
1046,7,1758
1047,5,1062
1048,5,1286
1049,7,1492
1050,6,1385
1051,6,1514
1052,5,1399
1053,5,1345
1054,6,1480
1055,6,1308
1056,6,1309
1057,6,1248
1058,5,1366
1059,4,1552
1060,5,1292
1061,5,1301
1062,6,1408
1063,6,1039
1064,4,1308
1065,7,1745
1066,6,1697
1067,7,1775
1068,7,1603
1069,10,1411
1070,7,1720
1071,6,1073
1072,8,1740
1073,7,1557
1074,6,1357
1075,7,1433
1076,8,1602
1077,5,1219
1078,5,1098
1079,4,1239
1080,6,1204
1081,2,1188
1082,7,1676
1083,6,1286
1084,8,1674
1085,5,1306
1086,7,1410
1087,8,1668
1088,5,1404
1089,4,1176
1090,6,1730
1091,6,1560
1092,4,1030
1093,4,1371
1094,3,1069
1095,6,1481
1096,7,1165
1097,9,1786
1098,8,1682
1099,9,1613
1100,5,1342
1101,7,1168
1102,8,1656
1103,6,1787
1104,6,1534
1105,6,1212
1106,5,1321
1107,5,1105
1108,7,1498
1109,5,1177
1110,7,1469
1111,5,1076
1112,4,1202
1113,6,1650
1114,7,1710
1115,7,1068
1116,6,1210
1117,9,1778
1118,5,1358
1119,4,1156
1120,7,1481
1121,7,1774
1122,7,1694
1123,7,1619
1124,6,1673
1125,7,1757
1126,7,1020
1127,7,1736
1128,5,1376
1129,8,1441
1130,6,1499
1131,5,1300
1132,7,1680
1133,8,1679
1134,5,1306
1135,6,1094
1136,5,1028
1137,5,1010
1138,4,1453
1139,7,1732
1140,9,1650
1141,6,1332
1142,5,1379
1143,8,1741
1144,4,1370
1145,5,1084
1146,5,1084
1147,5,1085
1148,8,1491
1149,7,1169
1150,6,1057
1151,9,1692
1152,5,904
1153,7,1342
1154,5,1568
1155,9,1689
1156,5,1272
1157,6,1585
1158,7,1499
1159,7,1746
1160,9,1720
1161,9,1627
1162,7,1646
1163,5,1460
1164,5,1582
1165,5,1385
1166,7,1041
1167,4,1287
1168,5,1079
1169,7,1597
1170,5,1196
1171,7,1039
1172,5,1067
1173,6,1456
1174,7,1618
1175,3,1268
1176,5,1035
1177,5,1189
1178,4,1286
1179,6,1142
1180,8,1635
1181,6,1482
1182,6,1285
1183,5,1279
1184,8,1647
1185,6,1327
1186,5,1377
1187,6,1596
1188,7,1777
1189,5,1547
1190,5,1317
1191,6,1334
1192,6,1164
1193,9,1692
1194,8,1670
1195,6,1686
1196,8,1757
1197,5,1182
1198,7,1415
1199,6,1693
1200,7,1722
1201,5,1042
1202,5,1081
1203,7,1070
1204,6,1542
1205,5,1576
1206,4,1209
1207,7,1423
1208,8,1798
1209,5,1397
1210,5,1314
1211,4,1035
1212,5,1080
1213,8,1552
1214,5,1342
1215,5,1137
1216,6,1246
1217,5,1076
1218,7,1672
1219,4,956
1220,7,1285
1221,7,1152
1222,5,1160
1223,7,1558
1224,5,1220
1225,3,1103
1226,8,1542
1227,7,1432
1228,6,1256
1229,6,1367
1230,8,1586
1231,8,1559
1232,7,1673
1233,8,1732
1234,8,1612
1235,8,1502
1236,5,1360
1237,6,1423
1238,4,1346
1239,5,1033
1240,6,1097
1241,4,1385
1242,5,1043
1243,6,1393
1244,5,1169
1245,5,1006
1246,6,1435
1247,7,1672
1248,6,1624
1249,7,1588
1250,6,1748
1251,7,1578
1252,5,1217
1253,4,1027
1254,4,1135
1255,7,1694
1256,7,1590
1257,7,1735
1258,8,1424
1259,4,1297
1260,5,1199
1261,6,1173
1262,6,1295
1263,5,1236
1264,5,1198
1265,6,1516
1266,5,1265
1267,7,1485
1268,7,1285
1269,8,1542
1270,8,1714
1271,7,1785
1272,5,1208
1273,6,1329
1274,6,1656
1275,7,1668
1276,6,1401
1277,6,1528
1278,6,1440
1279,8,1613
1280,10,1619
1281,8,1662
1282,10,1483
1283,8,1709
1284,6,1187
1285,6,1288
1286,5,1044
1287,7,1076
1288,7,1703
1289,5,1320
1290,8,1706
1291,5,1077
1292,5,1473
1293,6,1389
1294,6,1190
1295,4,1172
1296,9,1774
1297,8,1619
1298,4,1237
1299,8,1621
1300,8,1722
1301,8,1643
1302,5,1316
1303,9,1774
1304,6,1285
1305,7,1731
1306,8,1784
1307,7,1784
1308,5,1154
1309,3,1141
1310,5,1326
1311,6,1569
1312,5,1088
1313,4,914
1314,4,1236
1314,4,1236
1315,6,1375
1316,5,1074
1317,6,1316
1318,8,1786
1319,6,1629
1320,5,1123
1321,7,1681
1322,5,1048
1323,2,1012
1324,5,1276
1325,6,1238
1326,5,1229
1327,7,1402
1328,5,1332
1329,5,1578
1330,7,1759
1331,4,1093
1332,7,1567
1333,5,1242
1334,7,1618
1335,7,1660
1336,6,1766
1337,7,1501
1338,5,1113
1339,4,1135
1340,7,1537
1341,8,1744
1342,6,1197
1343,8,1573
1344,5,1588
1345,7,1604
1346,8,1678
1347,2,1103
1348,7,1729
1349,5,1364
1350,9,1749
1351,8,1629
1352,6,1566
1353,7,1748
1354,8,1641
1355,5,1070
1356,5,1446
1357,8,1551
1358,7,1788
1359,5,1295
1360,6,1140
1361,5,1563
1362,7,1183
1363,5,1138
1364,6,1493
1365,5,1372
1366,5,1330
1367,7,1761
1368,5,1645
1369,5,1388
1370,6,1143
1371,9,1657
1372,8,1667
1373,6,1150
1374,6,1431
1375,6,1475
1376,5,1228
1377,5,1132
1378,6,1744
1379,7,1373
1380,7,1564
1381,9,1784
1382,3,1311
1383,7,1569
1384,8,1705
1385,3,1112
1386,8,1647
1387,6,1384
1388,7,1395
1389,7,1726
1390,6,1327
1391,8,1782
1392,8,1512
1393,7,1563
1394,5,1547
1395,7,1349
1396,5,1237
1397,5,1276
1398,7,1375
1399,9,1609
1400,7,1725
1401,6,1097
1402,5,1020
1403,6,1372
1404,8,1699
1405,4,1058
1406,9,1713
1407,4,1062
1408,6,1442
1409,5,1345
1410,6,1761
1411,7,1251
1412,6,1166
1413,6,1273
1414,8,1658
1415,7,1170
1416,7,1046
1417,9,1750
1418,8,1483
1419,5,1266
1420,6,1564
1421,8,1640
1422,5,1463
1423,6,1519
1424,9,1757
1425,7,1744
1426,7,1740
1427,4,1116
1428,5,1431
1429,5,1393
1430,6,1362
1431,6,1596
1431,6,1596
1432,5,1312
1433,5,1621
1434,6,1106
1435,4,1057
1436,9,1761
1437,6,1572
1438,5,1341
1439,8,1617
1440,7,1762
1441,6,1497
1442,6,1353
1443,6,1516
1444,6,1288
1445,6,1232
1446,5,1256
1447,7,1293
1448,7,1753
1449,7,1794
1450,5,1000
1451,5,1342
1452,8,1518
1453,5,1355
1454,6,1125
1455,2,1043
1456,5,1013
1457,7,1027
1458,5,1303
1459,5,1319
1460,4,1391
1461,7,1266
1462,6,1450
1463,5,1120
1464,5,1214
1465,7,1728
1466,4,1295
1467,6,1123
1468,10,1731
1469,7,1676
1470,6,1490
1471,5,1264
1472,7,1613
1473,7,1530
1474,6,1387
1475,5,1003
1476,6,1793
1477,6,1665
1478,7,1797
1479,6,1367
1480,6,1164
1481,6,1552
1482,7,1768
1483,7,1604
1484,7,1654
1485,5,1316
1486,5,1476
1487,6,1648
1488,7,1673
1489,7,1468
1490,6,1285
1491,4,1183
1492,7,1736
1493,7,1529
1494,5,1041
1495,6,1770
1496,3,1149
1497,5,1194
1498,5,1200
1499,5,1142
1500,8,1742
1501,8,1687
1502,5,1069
1503,6,1414
1504,5,1282
1505,6,1670
1506,6,1094
1507,7,1633
1508,6,1107
1509,7,1734
1510,5,1073
1511,9,1679
1512,5,1207
1513,7,1681
1514,6,1739
1515,7,1246
1516,7,1689
1517,7,1601
1518,5,1397
1519,5,1386
1520,6,1618
1521,3,1239
1522,6,1495
1523,5,1124
1524,5,1273
1525,6,1011
1526,7,1684
1527,5,1316
1528,5,1040
1529,10,1671
1530,6,1163
1531,5,1329
1532,6,1471
1533,7,1707
1534,6,1789
1535,4,1325
1536,6,1020
1537,7,1591
1538,4,1330
1539,5,1397
1540,7,1024
1541,7,1470
1542,9,1731
1543,7,1536
1544,5,1109
1545,5,1087
1546,4,1342
1547,6,1131
1548,5,1464
1549,4,1278
1550,3,1150
1551,6,1200
1552,6,1151
1553,9,1777
1554,4,1149
1555,7,1741
1556,4,1013
1557,5,1398
1558,3,1118
1559,9,1662
1560,6,1649
1561,6,1173
1562,6,1504
1563,6,1322
1564,7,1681
1565,7,1553
1566,5,1567
1567,5,1350
1568,9,1686
1569,6,1679
1570,5,1128
1571,5,1230
1572,5,1360
1573,7,1675
1574,6,1523
1575,7,1419
1576,8,1693
1577,6,1466
1578,7,1761
1579,4,1092
1580,6,1598
1581,6,1077
1582,6,1421
1583,6,1563
1584,5,1238
1585,5,1510
1586,5,1436
1587,7,1058
1588,4,1009
1589,6,1303
1590,6,1298
1591,5,1246
1592,5,1445
1593,7,1504
1594,7,1718
1595,5,1524
1596,8,1782
1597,4,1319
1598,2,1107
1599,7,1796
1600,7,1603
1601,5,1271
1602,6,1470
1603,6,1013
1604,7,1434
1605,8,1719
1606,6,1656
1607,7,1629
1608,8,1554
1609,4,1350
1610,5,1478
1611,7,1681
1612,4,1088
1613,6,1440
1614,6,1222
1615,5,1377
1616,7,1561
1617,6,1572
1618,7,1404
1619,6,1482
1620,7,1774
1621,5,1052
1622,4,1735
1623,7,1577
1624,7,1584
1625,9,1600
1626,7,1580
1627,4,1312
1628,6,1243
1629,8,1433
1630,6,1209
1631,5,1539
1632,7,1586
1633,5,1467
1634,6,1080
1635,8,1733
1636,8,1757
1637,5,1303
1638,5,1012
1639,3,1150
1640,6,1659
1641,8,1773
1642,5,1048
1643,5,1518
1644,6,1398
1645,6,1382
1646,7,1752
1647,9,1619
1648,7,1257
1649,6,1367
1650,5,1207
1651,8,1799
1652,3,1186
1653,5,1347
1654,7,1465
1655,4,1101
1656,7,1608
1657,4,1396
1658,8,1763
1659,8,1420
1660,4,1008
1661,5,1296
1662,4,1029
1663,6,1507
1664,8,1709
1665,9,1796
1666,6,1097
1667,6,1346
1668,6,1584
1669,6,1458
1670,5,1271
1671,5,1444
1672,7,1741
1673,6,1320
1674,10,1763
1675,6,1216
1676,5,1265
1677,5,1375
1678,7,1628
1679,7,1562
1680,7,1643
1681,6,1671
1682,9,1649
1683,4,1312
1684,7,1008
1685,6,1393
1686,7,1796
1687,6,1598
1688,4,1048
1689,6,1162
1690,5,1098
1691,5,1125
1692,4,1131
1693,9,1630
1694,5,1011
1695,6,1382
1696,4,1294
1697,5,1296
1698,5,1291
1699,7,1019
1700,5,1318
1701,7,1517
1702,7,1705
1703,5,1076
1704,8,1791
1705,6,1006
1706,5,1374
1707,7,1453
1708,4,1323
1709,5,1677
1710,8,1728
1711,6,1464
1712,6,1631
1713,6,1640
1714,6,1275
1715,7,1736
1716,7,1649
1717,6,1442
1718,9,1651
1719,8,1619
1720,5,1267
1721,5,1403
1722,8,1681
1723,5,1019
1724,6,1433
1725,4,1189
1726,7,1442
1727,5,1151
1728,8,1084
1729,4,1317
1730,6,1173
1731,8,1536
1732,5,1376
1733,8,1660
1734,7,1769
1735,7,1747
1736,7,996
1737,8,1732
1738,6,1576
1739,6,1747
1740,5,1271
1741,6,1472
1742,5,1100
1743,6,1123
1744,5,1197
1745,5,1588
1746,5,1397
1747,7,1394
1748,4,1079
1749,6,1016
1750,5,1581
1751,5,1087
1752,8,1603
1753,6,1347
1754,9,1763
1755,7,1077
1756,6,1302
1757,6,1295
1758,6,1027
1759,6,1578
1760,5,1363
1761,5,1221
1762,6,1372
1763,5,1361
1764,6,1104
1765,6,1334
1766,5,1169
1767,6,1597
1768,5,1353
1769,5,1299
1770,6,1450
1771,7,1038
1772,8,1730
1773,5,1394
1774,4,1370
1775,3,1111
1776,5,1495
1777,7,1437
1778,5,1425
1779,7,1550
1780,5,1013
1781,5,1042
1782,5,1203
1783,5,1299
1784,5,1695
1785,7,1077
1786,5,1220
1787,5,1284
1788,6,1434
1789,5,1182
1790,8,1707
1791,4,1395
1792,7,1552
1793,7,1016
1794,6,1291
1795,4,1122
1796,8,1698
1797,5,1367
1798,5,1280
1799,7,1440
1799,7,1440
1800,8,1782
1801,8,1782
1802,5,1272
1803,5,1304
1804,5,1349
1805,7,1449
1805,7,1449
1806,5,1100
1807,8,1633
1808,4,1296
1809,5,1376
1810,5,1426
1811,8,1769
1812,6,1118
1813,7,1669
1814,8,1424
1815,5,1287
1816,5,1484
1817,2,1028
1818,6,1277
1819,6,1355
1820,5,1558
1821,6,1441
1821,6,1441
1822,6,1316
1823,5,1008
1824,5,1219
1825,7,1739
1826,5,1374
1827,5,1145
1828,6,1060
1829,8,1792
1830,7,1678
1831,5,1244
1832,5,1419
1833,5,1465
1834,5,1013
1835,5,1247
1836,5,1300
1837,4,1218
1838,6,1312
1839,8,1753
1840,8,1605
1841,7,1699
1842,4,1028
1843,5,1221
1844,7,1514
1845,7,1476
1846,6,1345
1847,5,1313
1848,7,1459
1849,7,1007
1850,6,1084
1851,6,1248
1852,6,1047
1853,8,1782
1854,6,1342
1855,6,1436
1856,7,1638
