DI,StructuralIntegrity,ExteriorCharm
372,5,Gleaming
373,8,Common
374,6,Common
375,5,Gleaming
376,5,Gleaming
377,6,Common
378,7,Common
379,5,Gleaming
380,5,Common
381,6,Common
382,5,Gleaming
383,5,Common
384,7,Common
385,5,Common
386,5,Gleaming
387,5,Common
388,9,Common
389,7,Common
390,5,Gleaming
391,5,Common
392,5,Enchanting
393,5,Gleaming
394,5,Gleaming
395,4,Gleaming
396,5,Gleaming
397,5,Gleaming
398,7,Common
399,7,Common
400,7,Gleaming
401,5,Enchanting
402,5,Common
403,7,Common
404,5,Gleaming
405,8,Common
406,8,Common
407,6,Common
408,8,Common
409,7,Common
410,5,Common
411,7,Common
412,5,Gleaming
413,5,Common
414,5,Gleaming
415,5,Common
416,5,Gleaming
417,5,Gleaming
418,8,Gleaming
419,6,Common
420,6,Common
421,7,Common
422,5,Common
423,7,Common
424,5,Gleaming
425,5,Common
426,6,Common
427,3,Common
428,5,Gleaming
429,5,Gleaming
430,5,Gleaming
431,6,Common
432,5,Common
433,5,Gleaming
434,8,Common
435,5,Common
436,7,Common
437,5,Common
438,5,Common
439,6,Common
440,7,Gleaming
441,6,Common
442,5,Common
443,5,Gleaming
444,5,Gleaming
445,8,Common
446,5,Gleaming
447,5,Gleaming
448,8,Common
449,7,Common
450,5,Common
451,5,Common
452,6,Common
453,5,Common
454,5,Gleaming
455,7,Common
456,6,Common
457,5,Common
458,5,Common
459,5,Gleaming
460,6,Common
461,6,Common
462,5,Gleaming
463,5,Common
464,5,Enchanting
465,6,Common
466,5,Enchanting
467,7,Common
468,6,Common
468,6,Common
469,6,Gleaming
470,9,Gleaming
471,5,Gleaming
472,5,Common
473,5,Common
474,5,Common
475,5,Common
475,5,Common
476,5,Gleaming
477,5,Gleaming
478,5,Gleaming
479,5,Enchanting
480,6,Common
481,7,Common
482,3,Common
483,5,Enchanting
484,6,Common
485,5,Gleaming
486,5,Gleaming
487,1,Common
488,8,Common
489,7,Gleaming
490,5,Common
491,1,Common
492,5,Gleaming
493,5,Gleaming
494,6,Common
495,5,Common
496,5,Common
497,3,Modest
498,5,Gleaming
499,5,Common
500,6,Common
501,5,Gleaming
502,7,Common
503,7,Common
504,8,Common
505,6,Common
506,7,Common
507,6,Common
508,6,Common
509,5,Gleaming
510,4,Common
511,9,Enchanting
512,6,Common
512,6,Common
513,3,Common
514,5,Common
515,6,Common
516,7,Common
517,7,Common
518,4,Common
519,5,Gleaming
520,5,Common
521,5,Gleaming
522,8,Common
523,7,Common
524,7,Common
525,5,Gleaming
526,5,Common
527,6,Common
528,5,Enchanting
529,5,Enchanting
530,6,Common
531,5,Common
532,5,Common
533,5,Common
534,6,Common
535,7,Common
536,6,Common
537,5,Gleaming
538,6,Common
539,5,Gleaming
540,6,Common
541,8,Common
542,5,Gleaming
543,6,Common
544,5,Enchanting
545,7,Common
546,3,Common
547,4,Common
548,5,Common
549,5,Gleaming
550,4,Common
551,5,Gleaming
552,5,Gleaming
553,7,Common
554,5,Gleaming
555,5,Gleaming
556,5,Gleaming
557,7,Common
558,5,Gleaming
559,6,Common
560,9,Gleaming
561,6,Common
562,6,Common
563,5,Common
564,5,Common
565,5,Gleaming
566,5,Common
567,4,Common
568,5,Common
569,5,Gleaming
570,5,Common
571,7,Common
572,5,Common
573,6,Common
574,5,Gleaming
575,6,Common
576,7,Common
577,6,Common
578,5,Common
579,7,Common
580,5,Enchanting
581,5,Gleaming
582,5,Gleaming
583,8,Common
584,5,Common
585,5,Gleaming
586,8,Gleaming
587,6,Common
588,6,Common
589,5,Common
590,6,Common
591,7,Common
592,5,Common
593,7,Common
594,5,Common
595,6,Common
596,5,Gleaming
597,5,Common
598,5,Common
599,6,Common
600,5,Common
601,6,Common
602,6,Common
603,7,Common
604,5,Gleaming
605,5,Gleaming
606,8,Common
607,5,Common
608,7,Common
609,5,Gleaming
610,5,Common
611,5,Common
612,3,Common
613,6,Common
614,5,Common
615,5,Common
616,7,Common
617,5,Gleaming
618,5,Common
619,5,Common
620,5,Gleaming
621,5,Gleaming
622,5,Common
623,4,Common
624,8,Common
625,6,Common
626,5,Gleaming
627,6,Common
628,7,Common
629,6,Common
630,5,Enchanting
631,6,Common
632,5,Gleaming
633,5,Common
634,5,Common
635,6,Common
636,5,Common
637,5,Gleaming
638,7,Common
639,5,Gleaming
640,8,Gleaming
641,5,Common
642,7,Common
643,9,Gleaming
644,5,Gleaming
645,7,Common
646,5,Gleaming
647,7,Gleaming
648,7,Common
649,7,Common
649,7,Common
650,5,Common
651,5,Gleaming
652,5,Common
653,5,Gleaming
654,7,Common
655,5,Common
656,6,Common
657,5,Gleaming
658,5,Common
659,5,Gleaming
660,8,Gleaming
661,9,Enchanting
662,5,Gleaming
663,5,Gleaming
664,6,Common
665,5,Common
666,5,Gleaming
667,6,Common
668,7,Common
669,5,Gleaming
670,4,Common
671,5,Common
672,5,Gleaming
673,8,Common
674,5,Common
675,5,Common
676,7,Common
677,6,Common
678,5,Gleaming
679,5,Common
680,5,Gleaming
681,5,Gleaming
682,5,Common
683,8,Common
684,5,Common
685,6,Common
686,5,Common
687,7,Common
688,6,Common
689,8,Common
690,5,Common
691,9,Common
692,5,Gleaming
693,5,Gleaming
694,7,Gleaming
695,6,Common
696,6,Common
697,5,Modest
698,5,Common
699,8,Common
700,7,Gleaming
701,5,Common
702,5,Gleaming
703,5,Gleaming
704,5,Gleaming
705,8,Common
706,5,Common
707,5,Gleaming
708,6,Common
709,5,Common
710,6,Common
711,5,Gleaming
712,6,Gleaming
713,5,Common
714,6,Common
715,5,Common
716,8,Common
717,6,Common
718,6,Common
719,9,Gleaming
720,5,Gleaming
721,5,Common
722,7,Common
723,5,Common
724,7,Gleaming
725,6,Common
726,5,Gleaming
727,5,Gleaming
728,6,Common
729,5,Common
730,6,Gleaming
731,6,Common
732,7,Gleaming
732,7,Gleaming
733,5,Gleaming
734,4,Gleaming
735,6,Common
736,6,Common
737,5,Gleaming
738,5,Gleaming
739,5,Common
740,5,Common
741,5,Gleaming
742,5,Common
743,6,Common
744,7,Common
745,5,Gleaming
746,4,Common
747,7,Common
748,5,Gleaming
749,5,Gleaming
750,5,Common
751,5,Gleaming
752,5,Enchanting
753,5,Enchanting
754,9,Common
755,5,Gleaming
756,5,Common
757,5,Gleaming
758,7,Gleaming
759,5,Gleaming
760,5,Common
761,5,Gleaming
762,5,Common
763,8,Common
764,9,Gleaming
765,6,Common
766,5,Gleaming
767,5,Common
768,6,Common
769,6,Common
770,6,Common
771,5,Common
772,7,Common
773,5,Gleaming
774,6,Common
775,5,Gleaming
776,5,Common
777,5,Common
778,5,Enchanting
779,5,Common
780,7,Common
781,5,Common
782,5,Common
783,6,Common
784,7,Common
785,5,Gleaming
786,7,Common
787,7,Common
788,6,Common
789,6,Common
790,5,Common
791,5,Enchanting
792,5,Gleaming
793,5,Gleaming
794,8,Gleaming
795,5,Common
796,5,Common
797,5,Common
798,5,Gleaming
799,5,Enchanting
800,5,Enchanting
801,9,Enchanting
802,6,Common
803,6,Common
804,7,Common
805,8,Gleaming
806,8,Common
807,5,Enchanting
808,6,Common
809,6,Common
810,5,Common
811,5,Gleaming
812,7,Common
813,5,Common
814,5,Gleaming
815,5,Gleaming
816,5,Common
817,4,Common
818,5,Enchanting
819,8,Common
820,9,Gleaming
821,5,Common
822,8,Common
823,5,Gleaming
824,8,Common
825,5,Common
826,6,Common
827,4,Gleaming
828,5,Gleaming
829,8,Common
830,5,Common
831,5,Common
832,5,Common
833,5,Common
834,4,Common
835,7,Common
836,5,Common
837,5,Gleaming
838,5,Gleaming
839,5,Common
840,7,Common
841,5,Gleaming
842,5,Common
843,5,Gleaming
844,5,Enchanting
845,5,Gleaming
846,3,Common
847,5,Gleaming
848,8,Gleaming
849,9,Gleaming
850,5,Gleaming
851,3,Common
852,6,Common
853,5,Gleaming
854,5,Gleaming
855,5,Gleaming
856,5,Common
857,5,Gleaming
858,6,Common
859,4,Common
860,5,Enchanting
861,6,Common
862,6,Common
863,5,Common
864,5,Common
865,6,Common
866,5,Gleaming
867,5,Common
868,5,Common
869,5,Common
870,4,Common
871,6,Common
872,5,Gleaming
873,5,Common
874,6,Common
875,5,Gleaming
876,5,Gleaming
877,5,Gleaming
878,6,Common
879,6,Common
880,5,Common
881,5,Common
882,5,Common
883,6,Common
884,5,Common
885,5,Common
886,5,Gleaming
887,5,Gleaming
888,6,Common
889,5,Gleaming
890,7,Common
891,5,Gleaming
892,5,Enchanting
893,5,Gleaming
894,5,Gleaming
895,5,Common
896,5,Gleaming
897,5,Common
898,3,Common
899,9,Common
900,6,Common
901,6,Modest
902,6,Gleaming
903,5,Gleaming
904,5,Common
905,5,Common
906,6,Common
907,5,Enchanting
908,5,Gleaming
909,5,Gleaming
910,5,Gleaming
911,5,Gleaming
912,5,Gleaming
913,5,Common
914,5,Gleaming
915,5,Gleaming
916,5,Gleaming
917,6,Common
918,6,Common
919,7,Common
920,9,Common
921,2,Common
922,7,Common
923,5,Gleaming
924,6,Common
925,5,Gleaming
926,5,Common
927,5,Common
928,7,Common
929,5,Gleaming
930,5,Common
931,6,Common
932,6,Common
933,6,Common
934,5,Common
935,5,Gleaming
936,5,Gleaming
937,7,Common
938,5,Gleaming
939,5,Gleaming
940,5,Common
941,7,Common
942,5,Common
943,5,Gleaming
944,5,Common
945,5,Common
946,5,Gleaming
947,6,Common
948,5,Common
949,5,Common
950,5,Gleaming
951,5,Common
952,9,Common
953,5,Enchanting
954,5,Gleaming
955,6,Common
956,5,Enchanting
957,5,Common
958,5,Enchanting
959,5,Gleaming
960,5,Common
961,6,Common
962,6,Common
963,5,Gleaming
964,6,Common
965,5,Gleaming
966,6,Common
967,7,Common
968,9,Gleaming
969,5,Common
970,7,Common
971,5,Gleaming
972,5,Enchanting
973,7,Gleaming
974,5,Common
975,9,Gleaming
976,8,Common
977,7,Common
978,6,Common
979,5,Common
980,6,Modest
981,5,Gleaming
982,5,Common
983,3,Common
984,5,Gleaming
985,5,Common
986,5,Common
987,7,Common
988,6,Common
989,6,Common
990,5,Gleaming
991,3,Common
992,6,Gleaming
993,3,Modest
994,5,Gleaming
995,5,Gleaming
996,6,Common
997,5,Gleaming
998,5,Gleaming
999,7,Common
1000,5,Gleaming
1001,5,Common
1002,6,Common
1003,5,Gleaming
1004,5,Common
1005,5,Enchanting
1006,5,Enchanting
1007,5,Gleaming
1008,5,Common
1009,5,Gleaming
1010,5,Gleaming
1011,5,Common
1012,5,Common
1013,5,Common
1014,6,Common
1015,7,Common
1016,9,Common
1017,4,Common
1018,6,Common
1019,5,Gleaming
1020,6,Common
1021,5,Common
1022,7,Common
1023,3,Common
1024,5,Common
1025,5,Gleaming
1026,5,Gleaming
1027,5,Common
1028,5,Common
1029,5,Gleaming
1030,5,Common
1031,6,Common
1032,6,Common
1033,5,Gleaming
1034,5,Common
1035,6,Common
1036,5,Common
1037,5,Gleaming
1038,6,Common
1039,6,Common
1040,5,Common
1041,6,Gleaming
1042,5,Gleaming
1043,5,Common
1044,5,Gleaming
1045,5,Gleaming
1046,5,Gleaming
1047,7,Common
1048,7,Common
1049,5,Common
1050,6,Common
1051,6,Common
1052,6,Common
1053,8,Common
1054,6,Common
1055,5,Common
1056,5,Common
1057,6,Common
1058,6,Common
1059,3,Common
1060,7,Common
1061,6,Common
1062,6,Common
1063,6,Common
1064,5,Common
1065,5,Gleaming
1066,5,Common
1067,5,Gleaming
1068,6,Gleaming
1069,6,Enchanting
1070,5,Gleaming
1071,7,Common
1072,5,Gleaming
1073,5,Gleaming
1074,5,Common
1075,5,Gleaming
1076,5,Gleaming
1077,5,Common
1078,7,Common
1079,6,Common
1080,5,Common
1081,3,Common
1082,5,Gleaming
1083,6,Common
1084,5,Gleaming
1085,7,Common
1086,5,Gleaming
1087,5,Gleaming
1088,5,Common
1089,6,Common
1090,5,Gleaming
1091,5,Common
1092,5,Common
1093,6,Common
1094,6,Common
1095,5,Common
1096,8,Common
1097,5,Enchanting
1098,5,Gleaming
1099,5,Enchanting
1100,7,Common
1101,9,Gleaming
1102,5,Gleaming
1103,5,Common
1104,6,Common
1105,4,Modest
1106,5,Common
1107,5,Common
1108,6,Gleaming
1109,6,Common
1110,5,Gleaming
1111,6,Common
1112,3,Modest
1113,5,Gleaming
1114,6,Gleaming
1115,7,Common
1116,6,Common
1117,5,Gleaming
1118,8,Common
1119,7,Common
1120,5,Gleaming
1121,5,Gleaming
1122,5,Common
1123,5,Gleaming
1124,5,Gleaming
1125,5,Gleaming
1126,5,Common
1127,5,Gleaming
1128,5,Common
1129,5,Common
1130,5,Common
1131,8,Common
1132,5,Common
1133,5,Gleaming
1134,6,Common
1135,7,Common
1136,5,Common
1137,4,Common
1138,5,Common
1139,5,Gleaming
1140,5,Enchanting
1141,6,Common
1142,5,Common
1143,5,Gleaming
1144,5,Common
1145,7,Common
1146,6,Common
1147,6,Common
1148,5,Gleaming
1149,8,Common
1150,6,Common
1151,5,Enchanting
1152,7,Gleaming
1153,9,Common
1154,5,Common
1155,5,Enchanting
1156,5,Common
1157,5,Common
1158,5,Common
1159,6,Gleaming
1160,5,Enchanting
1161,5,Enchanting
1162,5,Gleaming
1163,6,Common
1164,5,Common
1165,8,Common
1166,7,Common
1167,5,Common
1168,6,Common
1169,6,Gleaming
1170,7,Common
1171,7,Common
1172,5,Common
1173,5,Common
1174,5,Gleaming
1175,4,Common
1176,5,Common
1177,6,Common
1178,3,Common
1179,6,Common
1180,5,Gleaming
1181,5,Common
1182,6,Common
1183,8,Common
1184,5,Gleaming
1185,5,Common
1186,5,Gleaming
1187,7,Common
1188,5,Gleaming
1189,7,Common
1190,7,Common
1191,5,Common
1192,6,Common
1193,5,Gleaming
1194,5,Gleaming
1195,5,Gleaming
1196,5,Gleaming
1197,5,Common
1198,5,Common
1199,5,Gleaming
1200,5,Gleaming
1201,6,Common
1202,7,Common
1203,3,Common
1204,5,Common
1205,7,Common
1206,5,Common
1207,5,Gleaming
1208,5,Enchanting
1209,6,Common
1210,5,Common
1211,4,Common
1212,6,Common
1213,8,Gleaming
1214,5,Common
1215,8,Common
1216,5,Common
1217,2,Common
1218,5,Gleaming
1219,7,Modest
1220,9,Common
1221,6,Common
1222,8,Common
1223,5,Common
1224,6,Common
1225,4,Common
1226,5,Gleaming
1227,7,Common
1228,5,Common
1229,8,Common
1230,7,Gleaming
1231,5,Gleaming
1232,5,Gleaming
1233,5,Gleaming
1234,5,Gleaming
1235,5,Gleaming
1236,6,Common
1237,5,Common
1238,5,Common
1239,5,Common
1240,6,Common
1241,4,Common
1242,8,Common
1243,7,Gleaming
1244,7,Common
1245,4,Common
1246,5,Common
1247,5,Gleaming
1248,5,Gleaming
1249,5,Gleaming
1250,5,Common
1251,7,Common
1252,5,Common
1253,4,Common
1254,5,Common
1255,5,Gleaming
1256,6,Gleaming
1257,5,Gleaming
1258,5,Gleaming
1259,6,Common
1260,4,Modest
1261,7,Common
1262,7,Common
1263,5,Common
1264,5,Common
1265,5,Common
1266,6,Common
1267,5,Gleaming
1268,6,Common
1269,5,Gleaming
1270,5,Gleaming
1271,5,Gleaming
1272,5,Common
1273,6,Common
1274,5,Gleaming
1275,5,Gleaming
1276,6,Common
1277,5,Common
1278,6,Common
1279,5,Gleaming
1280,5,Enchanting
1281,5,Enchanting
1282,5,Enchanting
1283,5,Gleaming
1284,6,Common
1285,8,Common
1286,5,Common
1287,7,Common
1288,5,Gleaming
1289,4,Common
1290,5,Gleaming
1291,6,Common
1292,7,Common
1293,6,Common
1294,8,Gleaming
1295,6,Common
1296,5,Enchanting
1297,5,Gleaming
1298,5,Common
1299,5,Gleaming
1300,5,Enchanting
1301,5,Gleaming
1302,7,Common
1303,5,Gleaming
1304,7,Common
1305,5,Gleaming
1306,5,Gleaming
1307,5,Gleaming
1308,9,Common
1309,3,Common
1310,5,Common
1311,6,Common
1312,5,Common
1313,7,Gleaming
1314,4,Common
1314,4,Common
1315,6,Common
1316,7,Common
1317,5,Common
1318,5,Gleaming
1319,5,Gleaming
1320,6,Common
1321,5,Gleaming
1322,7,Common
1323,5,Modest
1324,6,Common
1325,7,Common
1326,7,Common
1327,5,Common
1328,7,Common
1329,5,Common
1330,5,Gleaming
1331,4,Common
1332,5,Gleaming
1333,5,Common
1334,5,Gleaming
1335,5,Gleaming
1336,5,Gleaming
1337,6,Gleaming
1338,6,Common
1339,7,Modest
1340,5,Gleaming
1341,5,Enchanting
1342,7,Common
1343,6,Gleaming
1344,7,Common
1345,5,Gleaming
1346,5,Gleaming
1347,5,Common
1348,5,Gleaming
1349,6,Common
1350,5,Gleaming
1351,5,Gleaming
1352,5,Common
1353,5,Gleaming
1354,5,Gleaming
1355,4,Common
1356,5,Common
1357,5,Gleaming
1358,5,Gleaming
1359,7,Common
1360,6,Gleaming
1361,5,Common
1362,5,Common
1363,5,Common
1364,5,Common
1365,4,Common
1366,7,Common
1367,5,Gleaming
1368,5,Common
1369,6,Common
1370,5,Common
1371,5,Gleaming
1372,5,Gleaming
1373,5,Common
1374,6,Gleaming
1375,5,Gleaming
1376,7,Common
1377,6,Common
1378,5,Gleaming
1379,6,Common
1380,5,Common
1381,5,Enchanting
1382,4,Common
1383,5,Common
1384,5,Gleaming
1385,3,Common
1386,5,Gleaming
1387,5,Common
1388,9,Common
1389,5,Gleaming
1390,7,Common
1391,5,Gleaming
1392,5,Gleaming
1393,5,Gleaming
1394,6,Common
1395,5,Common
1396,6,Common
1397,7,Common
1398,5,Common
1399,5,Gleaming
1400,5,Gleaming
1401,6,Common
1402,3,Common
1403,5,Common
1404,6,Gleaming
1405,6,Common
1406,5,Gleaming
1407,5,Common
1408,5,Gleaming
1409,7,Common
1410,5,Common
1411,6,Common
1412,7,Gleaming
1413,6,Common
1414,5,Gleaming
1415,5,Common
1416,5,Gleaming
1417,5,Enchanting
1418,5,Gleaming
1419,6,Common
1420,6,Common
1421,5,Gleaming
1422,6,Common
1423,6,Common
1424,5,Enchanting
1425,5,Gleaming
1426,5,Gleaming
1427,6,Gleaming
1428,6,Common
1429,5,Common
1430,7,Common
1431,5,Common
1431,5,Common
1432,6,Common
1433,5,Common
1434,6,Common
1435,6,Common
1436,5,Enchanting
1437,5,Common
1438,6,Common
1439,5,Gleaming
1440,5,Gleaming
1441,6,Common
1442,5,Common
1443,5,Gleaming
1444,6,Common
1445,6,Common
1446,6,Common
1447,6,Common
1448,5,Gleaming
1449,5,Common
1450,4,Common
1451,5,Common
1452,5,Gleaming
1453,5,Common
1454,8,Common
1455,3,Modest
1456,7,Common
1457,7,Common
1458,5,Common
1459,5,Common
1460,5,Common
1461,8,Gleaming
1462,7,Common
1463,6,Common
1464,5,Common
1465,5,Gleaming
1466,5,Common
1467,5,Common
1468,5,Enchanting
1469,5,Gleaming
1470,5,Common
1471,5,Common
1472,5,Gleaming
1473,5,Gleaming
1474,7,Common
1475,5,Common
1476,5,Gleaming
1477,5,Common
1478,5,Gleaming
1479,5,Common
1480,7,Common
1481,5,Common
1482,5,Common
1483,5,Gleaming
1484,5,Gleaming
1485,5,Common
1486,5,Common
1487,5,Common
1488,5,Common
1489,5,Common
1490,6,Common
1491,6,Common
1492,5,Gleaming
1493,5,Gleaming
1494,5,Common
1495,5,Gleaming
1496,6,Common
1497,8,Common
1498,5,Common
1499,7,Gleaming
1500,5,Gleaming
1501,5,Gleaming
1502,6,Common
1503,5,Common
1504,5,Common
1505,5,Common
1506,7,Common
1507,5,Gleaming
1508,7,Common
1509,5,Gleaming
1510,7,Common
1511,5,Gleaming
1512,5,Common
1513,5,Gleaming
1514,5,Gleaming
1515,6,Common
1516,5,Gleaming
1517,5,Gleaming
1518,6,Common
1519,6,Common
1520,5,Gleaming
1521,3,Common
1522,5,Common
1523,8,Modest
1524,5,Common
1525,4,Common
1526,5,Gleaming
1527,5,Common
1528,6,Common
1529,5,Enchanting
1530,6,Common
1531,7,Gleaming
1532,6,Common
1533,5,Gleaming
1534,5,Common
1535,4,Common
1536,7,Common
1537,5,Common
1538,6,Common
1539,7,Common
1540,7,Common
1541,5,Gleaming
1542,5,Common
1543,5,Gleaming
1544,7,Common
1545,5,Common
1546,7,Common
1547,7,Common
1548,5,Common
1549,4,Common
1550,3,Modest
1551,4,Common
1552,5,Common
1553,5,Enchanting
1554,6,Common
1555,5,Gleaming
1556,4,Common
1557,7,Common
1558,1,Common
1559,5,Gleaming
1560,5,Gleaming
1561,7,Common
1562,7,Common
1563,5,Common
1564,5,Gleaming
1565,5,Common
1566,6,Common
1567,5,Common
1568,5,Enchanting
1569,5,Gleaming
1570,7,Common
1571,5,Common
1572,6,Common
1573,5,Gleaming
1574,5,Common
1575,5,Gleaming
1576,5,Gleaming
1577,6,Common
1578,5,Gleaming
1579,5,Common
1580,6,Common
1581,7,Common
1582,6,Common
1583,5,Common
1584,5,Common
1585,5,Common
1586,5,Common
1587,4,Common
1588,8,Gleaming
1589,6,Common
1590,7,Common
1591,5,Common
1592,5,Common
1593,6,Gleaming
1594,5,Gleaming
1595,5,Common
1596,5,Gleaming
1597,5,Common
1598,2,Common
1599,5,Gleaming
1600,5,Gleaming
1601,5,Common
1602,6,Common
1603,6,Common
1604,5,Common
1605,5,Gleaming
1606,5,Common
1607,5,Gleaming
1608,5,Gleaming
1609,5,Common
1610,5,Common
1611,5,Gleaming
1612,4,Common
1613,6,Common
1614,6,Common
1615,7,Common
1616,7,Gleaming
1617,7,Common
1618,5,Gleaming
1619,5,Common
1620,5,Gleaming
1621,5,Common
1622,5,Common
1623,5,Common
1624,5,Gleaming
1625,5,Gleaming
1626,5,Common
