DI,TradeValue,RealmType,Enclave,LivingQuarters,ParcelSize,ParcelSizeUnit,StructuralIntegrity,ExteriorCharm,Downpayment,LoanAmount,MonthlyPayment,AffordableDwelling
54,139000.0,GnomeBurough,Petalbridge,1104.0,10836.0,sqft,5,Common,27800.0,111200.0,530.8858085575847,1
55,73000.0,GnomeBurough,Petalbridge,587.0,5232.0,sqft,5,Common,14600.0,58400.0,278.810532551825,1
56,89900.0,GnomeBurough,Petalbridge,668.0,10122.0,sqft,6,Common,17980.0,71920.0,343.3570804987544,1
57,133500.0,Meadowlands,Dragonspire,773.0,11050.0,sqft,5,Common,26700.0,106800.0,509.8795355571046,1
58,234250.0,Meadowlands,Silverglen,1032.0,6240.0,sqft,5,Gleaming,46850.0,187400.0,894.6762637022605,0
59,122000.0,GnomeBurough,Petalbridge,1813.0,5250.0,sqft,5,Common,24400.0,97600.0,465.9573283742829,1
60,155000.0,GnomeBurough,Petalbridge,1618.0,6300.0,sqft,6,Common,31000.0,124000.0,591.9949663771628,1
61,170000.0,AetherIsles,Wyverncliff,1079.0,2160.0,sqft,5,Gleaming,34000.0,136000.0,649.2848018330171,1
62,173000.0,Meadowlands,Brightforge,1261.0,8366.0,sqft,5,Gleaming,34600.0,138400.0,660.7427689241881,1
63,189000.0,Meadowlands,Brightforge,1419.0,11218.0,sqft,5,Gleaming,37800.0,151200.0,721.8519267437662,1
64,139000.0,GnomeBurough,Petalbridge,1204.0,6000.0,sqft,7,Common,27800.0,111200.0,530.8858085575847,1
65,141500.0,Meadowlands,Dragonspire,687.0,7436.0,sqft,7,Common,28300.0,113200.0,540.4341144668937,1
66,201000.0,Meadowlands,Brightforge,1323.0,8462.0,sqft,5,Gleaming,40200.0,160800.0,767.6837951084497,0
67,87000.0,GnomeBurough,Stormwatch,696.0,4882.0,sqft,7,Common,17400.0,69600.0,332.28104564395585,1
68,165400.0,Meadowlands,Shadowmere,1273.0,6931.0,sqft,5,Gleaming,33080.0,132320.0,631.7159189598885,1
69,405000.0,Meadowlands,Glimmerwood,2196.0,9233.0,sqft,5,Gleaming,81000.0,324000.0,1546.8255573080703,0
70,213000.0,Meadowlands,Sunspire,1253.0,9750.0,sqft,5,Gleaming,42600.0,170400.0,813.5156634731333,0
71,113000.0,Meadowlands,Crystalhollow,759.0,21750.0,sqft,5,Common,22600.0,90400.0,431.5834271007703,1
72,235128.0,AetherIsles,Wyverncliff,664.0,11932.0,sqft,5,Gleaming,47025.600000000006,188102.4,898.0296287376098,0
73,154000.0,Meadowlands,Dragonspire,958.0,7500.0,sqft,7,Common,30800.0,123200.0,588.1756440134391,1
74,250000.0,Meadowlands,Nighthaven,2141.0,16692.0,sqft,5,Common,50000.0,200000.0,954.8305909309076,0
75,154000.0,Meadowlands,Shadowmere,1250.0,10512.0,sqft,6,Common,30800.0,123200.0,588.1756440134391,1
76,207000.0,Meadowlands,Silverglen,1044.0,8198.0,sqft,5,Gleaming,41400.0,165600.0,790.5997292907915,0
77,340000.0,AetherIsles,Wyverncliff,1896.0,11143.0,sqft,5,Gleaming,68000.0,272000.0,1298.5696036660343,0
78,85000.0,GnomeBurough,Wolfsbane,855.0,2592.0,sqft,3,Common,17000.0,68000.0,324.64240091650856,1
79,135000.0,Meadowlands,Crystalhollow,906.0,11000.0,sqft,6,Common,27000.0,108000.0,515.6085191026901,1
80,475000.0,Meadowlands,Sunspire,664.0,11778.0,sqft,5,Gleaming,95000.0,380000.0,1814.1781227687247,0
81,193000.0,Meadowlands,Sunspire,1096.0,8685.0,sqft,5,Common,38600.0,154400.0,737.1292161986607,1
82,257000.0,Meadowlands,Thornfield,1780.0,15600.0,sqft,7,Common,51400.0,205600.0,981.5658474769731,0
83,224500.0,Meadowlands,Brightforge,1107.0,9069.0,sqft,8,Gleaming,44900.0,179600.0,857.4378706559552,0
84,140000.0,GnomeBurough,Petalbridge,1033.0,5700.0,sqft,6,Common,28000.0,112000.0,534.7051309213083,1
85,209000.0,AetherIsles,Wyverncliff,1271.0,8127.0,sqft,5,Gleaming,41800.0,167200.0,798.2383740182388,0
86,207500.0,AetherIsles,Wyverncliff,1192.0,5330.0,sqft,5,Gleaming,41500.0,166000.0,792.5093904726534,0
87,179000.0,Meadowlands,Duskwood,1384.0,8123.0,sqft,5,Common,35800.0,143200.0,683.65870310653,1
88,200624.0,Meadowlands,Thornfield,1934.0,32668.0,sqft,3,Gleaming,40124.8,160499.2,766.2477298996896,0
89,131500.0,GnomeBurough,Petalbridge,1380.0,12150.0,sqft,5,Common,26300.0,105200.0,502.2408908296574,1
90,172500.0,Meadowlands,Nighthaven,1015.0,16500.0,sqft,5,Common,34500.0,138000.0,658.8331077423263,1
91,228000.0,Meadowlands,Ravenstone,1313.0,16669.0,sqft,6,Gleaming,45600.0,182400.0,870.8054989289877,0
92,270000.0,AetherIsles,Wyverncliff,664.0,10603.0,sqft,5,Gleaming,54000.0,216000.0,1031.2170382053803,0
93,218000.0,Meadowlands,Mossheart,1105.0,10768.0,sqft,8,Gleaming,43600.0,174400.0,832.6122752917514,0
94,97000.0,GnomeBurough,Wolfsbane,1033.0,1533.0,sqft,6,Common,19400.0,77600.0,370.47426928119216,1
95,110000.0,GnomeBurough,Petalbridge,756.0,9750.0,sqft,6,Common,22000.0,88000.0,420.1254600095994,1
96,150000.0,Meadowlands,Mossheart,2264.0,24572.0,sqft,3,Gleaming,30000.0,120000.0,572.8983545585446,1
97,116000.0,GnomeBurough,Starfall,792.0,1890.0,sqft,7,Common,23200.0,92800.0,443.0413941919412,1
98,125500.0,Meadowlands,Emberfall,693.0,6173.0,sqft,6,Common,25100.0,100400.0,479.3249566473156,1
99,147000.0,Meadowlands,Cloudrest,1190.0,2364.0,sqft,5,Common,29400.0,117600.0,561.4403874673737,1
100,302000.0,Meadowlands,Glimmerwood,2161.0,9572.0,sqft,5,Gleaming,60400.0,241600.0,1153.4353538445364,0
101,233230.0,Meadowlands,Sunspire,1476.0,15611.0,sqft,5,Gleaming,46646.0,186584.0,890.7805548912625,0
102,274000.0,Meadowlands,Silverglen,1167.0,12677.0,sqft,5,Enchanting,54800.0,219200.0,1046.4943276602748,0
103,80000.0,GnomeBurough,Wolfsbane,484.0,1477.0,sqft,4,Common,16000.0,64000.0,305.54578909789046,1
104,260000.0,Meadowlands,Glimmerwood,1859.0,16059.0,sqft,5,Gleaming,52000.0,208000.0,993.0238145681438,0
105,180400.0,Meadowlands,Duskwood,1126.0,8402.0,sqft,5,Common,36080.0,144320.0,689.0057544157429,1
106,184000.0,Meadowlands,Duskwood,1119.0,10928.0,sqft,5,Gleaming,36800.0,147200.0,702.755314925148,1
107,189000.0,Meadowlands,Sunspire,1119.0,8199.0,sqft,5,Gleaming,37800.0,151200.0,721.8519267437662,1
108,240000.0,Meadowlands,Crystalhollow,1315.0,12118.0,sqft,5,Gleaming,48000.0,192000.0,916.6373672936713,0
109,118500.0,Meadowlands,Stormhold,1715.0,6204.0,sqft,5,Gleaming,23700.0,94800.0,452.58970010125023,1
110,125500.0,Meadowlands,Dragonspire,664.0,6600.0,sqft,5,Common,25100.0,100400.0,479.3249566473156,1
111,129000.0,Meadowlands,Emberfall,861.0,6970.0,sqft,5,Common,25800.0,103200.0,492.6925849203483,1
112,165500.0,GnomeBurough,Mystvale,1503.0,9000.0,sqft,5,Common,33100.0,132400.0,632.0978511962609,1
113,109500.0,GnomeBurough,Petalbridge,719.0,4485.0,sqft,7,Common,21900.0,87600.0,418.21579882773756,1
114,175500.0,Meadowlands,Nighthaven,955.0,9600.0,sqft,6,Common,35100.0,140400.0,670.2910748334972,1
115,190000.0,Meadowlands,Emberfall,2015.0,18890.0,sqft,5,Common,38000.0,152000.0,725.6712491074898,1
116,228500.0,Meadowlands,Brightforge,1524.0,11287.0,sqft,6,Gleaming,45700.0,182800.0,872.7151601108496,0
117,81000.0,Meadowlands,Shadowmere,910.0,8410.0,sqft,3,Common,16200.0,64800.0,309.36511146161405,1
118,110000.0,Meadowlands,Dragonspire,686.0,9477.0,sqft,5,Common,22000.0,88000.0,420.1254600095994,1
119,134000.0,Meadowlands,Crystalhollow,830.0,9187.0,sqft,5,Common,26800.0,107200.0,511.7891967389665,1
120,113000.0,GnomeBurough,Stormwatch,779.0,5000.0,sqft,7,Common,22600.0,90400.0,431.5834271007703,1
121,219210.0,Meadowlands,Duskwood,1433.0,14054.0,sqft,5,Gleaming,43842.0,175368.0,837.2336553518571,0
122,175500.0,Meadowlands,Nighthaven,1093.0,12090.0,sqft,6,Common,35100.0,140400.0,670.2910748334972,1
123,149900.0,Meadowlands,Shadowmere,1127.0,17755.0,sqft,4,Common,29980.0,119920.0,572.5164223221723,1
124,146000.0,Meadowlands,Dragonspire,884.0,7000.0,sqft,4,Common,29200.0,116800.0,557.62106510365,1
125,271900.0,Meadowlands,Brightforge,1689.0,14684.0,sqft,7,Gleaming,54380.0,217520.0,1038.4737506964552,0
126,171900.0,AetherIsles,Wyverncliff,961.0,4017.0,sqft,5,Gleaming,34380.0,137520.0,656.5415143240921,1
127,350000.0,Meadowlands,Glimmerwood,1625.0,10437.0,sqft,6,Gleaming,70000.0,280000.0,1336.7628273032708,0
128,75200.0,GnomeBurough,Mystvale,627.0,3672.0,sqft,7,Common,15040.0,60160.0,287.21304175201703,1
129,259000.0,Meadowlands,Duskwood,1176.0,14572.0,sqft,5,Gleaming,51800.0,207200.0,989.2044922044203,0
130,187000.0,Meadowlands,Sunspire,664.0,12438.0,sqft,5,Gleaming,37400.0,149600.0,714.2132820163189,1
131,94500.0,GnomeBurough,Starfall,759.0,1680.0,sqft,5,Common,18900.0,75600.0,360.9259633718831,1
132,109008.0,Meadowlands,Dragonspire,697.0,8593.0,sqft,6,Common,21801.600000000002,87206.4,416.33669222478545,1
133,79900.0,GnomeBurough,Stormwatch,574.0,5825.0,sqft,5,Common,15980.0,63920.0,305.1638568615181,1
134,240000.0,Meadowlands,Windwhisper,1502.0,53107.0,sqft,5,Gleaming,48000.0,192000.0,916.6373672936713,0
135,129500.0,Meadowlands,Crystalhollow,649.0,7599.0,sqft,6,Common,25900.0,103600.0,494.60224610221013,1
136,222000.0,AetherIsles,Wyverncliff,1327.0,3830.0,sqft,5,Gleaming,44400.0,177600.0,847.889564746646,0
137,153000.0,Meadowlands,Emberfall,795.0,7703.0,sqft,8,Common,30600.0,122400.0,584.3563216497154,1
138,151000.0,AetherIsles,Wyverncliff,923.0,3180.0,sqft,5,Common,30200.0,120800.0,576.7176769222682,1
139,156932.0,Meadowlands,Duskwood,1086.0,8499.0,sqft,5,Common,31386.4,125545.6,599.3738971838768,1
140,385000.0,Meadowlands,Silverglen,1603.0,14803.0,sqft,5,Enchanting,77000.0,308000.0,1470.4391100335977,0
141,141000.0,GnomeBurough,Mystvale,934.0,7000.0,sqft,7,Common,28200.0,112800.0,538.5244532850319,1
142,239900.0,Meadowlands,Sunspire,1129.0,9178.0,sqft,5,Gleaming,47980.0,191920.0,916.2554350572989,0
143,76000.0,GnomeBurough,Wolfsbane,839.0,1476.0,sqft,7,Common,15200.0,60800.0,290.26849964299595,1
144,158900.0,Meadowlands,Windwhisper,664.0,12000.0,sqft,5,Common,31780.0,127120.0,606.8903235956849,1
145,84900.0,Meadowlands,Shadowmere,715.0,11100.0,sqft,7,Common,16980.0,67920.0,324.2604686801362,1
146,200000.0,Meadowlands,Dragonspire,2026.0,11643.0,sqft,5,Common,40000.0,160000.0,763.8644727447262,0
147,213000.0,Meadowlands,Duskwood,1527.0,8396.0,sqft,5,Gleaming,42600.0,170400.0,813.5156634731333,0
148,63000.0,Meadowlands,Shadowmere,855.0,9780.0,sqft,3,Common,12600.0,50400.0,240.61730891458873,1
149,165000.0,AetherIsles,Wyverncliff,923.0,3180.0,sqft,5,Gleaming,33000.0,132000.0,630.188190014399,1
150,260000.0,AetherIsles,Wyverncliff,1144.0,4835.0,sqft,5,Gleaming,52000.0,208000.0,993.0238145681438,0
151,173000.0,Meadowlands,Sunspire,1093.0,11646.0,sqft,5,Gleaming,34600.0,138400.0,660.7427689241881,1
152,246000.0,Meadowlands,Thornfield,1266.0,3811.0,sqft,5,Gleaming,49200.0,196800.0,939.5533014760131,0
153,446261.0,Meadowlands,Silverglen,2086.0,14948.0,sqft,5,Enchanting,89252.20000000001,357008.8,1704.4146173576712,0
154,392000.0,Meadowlands,Riverbend,1091.0,8089.0,sqft,6,Gleaming,78400.0,313600.0,1497.1743665796635,0
155,85000.0,GnomeBurough,Petalbridge,877.0,5925.0,sqft,6,Common,17000.0,68000.0,324.64240091650856,1
156,136000.0,Meadowlands,Crystalhollow,979.0,10475.0,sqft,5,Common,27200.0,108800.0,519.4278414664137,1
157,105500.0,GnomeBurough,Starfall,839.0,2760.0,sqft,5,Common,21100.0,84400.0,402.9385093728431,1
158,242500.0,Meadowlands,Crystalhollow,1249.0,23580.0,sqft,6,Common,48500.0,194000.0,926.1856732029804,0
159,217000.0,Meadowlands,Sunspire,1368.0,13426.0,sqft,5,Gleaming,43400.0,173600.0,828.792952928028,0
160,155000.0,Meadowlands,Shadowmere,841.0,10452.0,sqft,5,Common,31000.0,124000.0,591.9949663771628,1
161,136000.0,Meadowlands,Dragonspire,1378.0,9000.0,sqft,5,Common,27200.0,108800.0,519.4278414664137,1
162,84500.0,Meadowlands,Crystalhollow,876.0,17217.0,sqft,5,Common,16900.0,67600.0,322.73273973464677,1
163,177000.0,AetherIsles,Wyverncliff,1173.0,2117.0,sqft,5,Gleaming,35400.0,141600.0,676.0200583790827,1
164,179781.0,Meadowlands,Ravenstone,933.0,9803.0,sqft,5,Gleaming,35956.200000000004,143824.8,686.641593872598,1
165,290941.0,Meadowlands,Silverglen,664.0,12883.0,sqft,5,Gleaming,58188.200000000004,232752.8,1111.1974678241168,0
166,107000.0,Meadowlands,Shadowmere,859.0,7819.0,sqft,5,Common,21400.0,85600.0,408.6674929184285,1
167,105900.0,GnomeBurough,Petalbridge,553.0,8520.0,sqft,8,Common,21180.0,84720.0,404.4662383183325,1
168,410000.0,Meadowlands,Ravenstone,1566.0,13438.0,sqft,5,Enchanting,82000.0,328000.0,1565.9221691266887,0
169,192500.0,Meadowlands,Sunspire,1366.0,14006.0,sqft,5,Gleaming,38500.0,154000.0,735.2195550167988,1
170,261329.0,AetherIsles,Wyverncliff,1218.0,10440.0,sqft,5,Enchanting,52265.8,209063.2,998.0996939895329,0
171,87550.0,GnomeBurough,Wolfsbane,839.0,1533.0,sqft,5,Common,17510.0,70040.0,334.3816729440038,1
172,130000.0,Meadowlands,Shadowmere,1313.0,3363.0,sqft,5,Gleaming,26000.0,104000.0,496.5119072840719,1
173,119000.0,GnomeBurough,Stormwatch,695.0,6000.0,sqft,7,Gleaming,23800.0,95200.0,454.4993612831121,1
174,170440.0,Meadowlands,Duskwood,1119.0,10237.0,sqft,5,Gleaming,34088.0,136352.0,650.9653036730556,1
175,80000.0,Meadowlands,Shadowmere,710.0,12180.0,sqft,4,Common,16000.0,64000.0,305.54578909789046,1
176,107400.0,GnomeBurough,Petalbridge,1234.0,5790.0,sqft,6,Gleaming,21480.0,85920.0,410.19522186391794,1
177,80900.0,GnomeBurough,Mystvale,806.0,5150.0,sqft,7,Common,16180.0,64720.0,308.9831792252417,1
178,96000.0,Meadowlands,Shadowmere,1047.0,7550.0,sqft,5,Modest,19200.0,76800.0,366.6549469174685,1
179,181000.0,Meadowlands,Dreamweaver,1156.0,3182.0,sqft,5,Gleaming,36200.0,144800.0,691.2973478339771,1
180,230000.0,Meadowlands,Sunspire,664.0,12420.0,sqft,5,Gleaming,46000.0,184000.0,878.444143656435,0
181,119000.0,Meadowlands,Dragonspire,759.0,7200.0,sqft,7,Common,23800.0,95200.0,454.4993612831121,1
182,52000.0,GnomeBurough,Stormwatch,560.0,4130.0,sqft,6,Gleaming,10400.0,41600.0,198.6047629136288,1
183,136500.0,Meadowlands,Dragonspire,904.0,8856.0,sqft,4,Common,27300.0,109200.0,521.3375026482755,1
184,172000.0,Meadowlands,Crystalhollow,1513.0,11075.0,sqft,4,Common,34400.0,137600.0,656.9234465604644,1
185,110000.0,GnomeBurough,Petalbridge,1063.0,11800.0,sqft,7,Common,22000.0,88000.0,420.1254600095994,1
186,395192.0,Meadowlands,Silverglen,1492.0,10159.0,sqft,5,Enchanting,79038.40000000001,316153.6,1509.365643564669,0
187,126000.0,GnomeBurough,Mystvale,706.0,7000.0,sqft,8,Common,25200.0,100800.0,481.23461782917747,1
188,132000.0,Meadowlands,Dragonspire,713.0,13300.0,sqft,7,Common,26400.0,105600.0,504.1505520115192,1
189,123600.0,Meadowlands,Sunspire,761.0,8070.0,sqft,5,Common,24720.0,98880.0,472.0682441562407,1
190,222500.0,Meadowlands,Duskwood,1565.0,9505.0,sqft,5,Gleaming,44500.0,178000.0,849.7992259285079,0
191,225000.0,Meadowlands,Duskwood,1333.0,12394.0,sqft,5,Gleaming,45000.0,180000.0,859.3475318378167,0
192,132000.0,Meadowlands,Dragonspire,941.0,8064.0,sqft,8,Common,26400.0,105600.0,504.1505520115192,1
193,110000.0,Meadowlands,Sunspire,710.0,7990.0,sqft,6,Common,22000.0,88000.0,420.1254600095994,1
194,149900.0,Meadowlands,Shadowmere,1237.0,9525.0,sqft,5,Common,29980.0,119920.0,572.5164223221723,1
195,114000.0,Meadowlands,Shadowmere,664.0,11200.0,sqft,3,Common,22800.0,91200.0,435.40274946449387,1
196,205000.0,Meadowlands,Silverglen,1053.0,7132.0,sqft,5,Gleaming,41000.0,164000.0,782.9610845633443,0
197,225000.0,Meadowlands,Windwhisper,1759.0,15593.0,sqft,4,Gleaming,45000.0,180000.0,859.3475318378167,0
198,185000.0,Meadowlands,Duskwood,1162.0,11207.0,sqft,5,Common,37000.0,148000.0,706.5746372888716,1
199,171000.0,Meadowlands,Crystalhollow,859.0,9880.0,sqft,6,Common,34200.0,136800.0,653.1041241967409,1
200,105000.0,GnomeBurough,Stormwatch,1032.0,6000.0,sqft,5,Common,21000.0,84000.0,401.02884819098114,1
201,315000.0,Meadowlands,Ravenstone,1413.0,14601.0,sqft,5,Enchanting,63000.0,252000.0,1203.0865445729435,0
202,360000.0,Meadowlands,Silverglen,1495.0,12378.0,sqft,5,Gleaming,72000.0,288000.0,1374.956050940507,0
203,127500.0,GnomeBurough,Mystvale,799.0,7200.0,sqft,7,Common,25500.0,102000.0,486.9636013747629,1
204,137000.0,Meadowlands,Thornfield,944.0,7155.0,sqft,8,Common,27400.0,109600.0,523.2471638301374,1
205,197500.0,Meadowlands,Nighthaven,1436.0,10304.0,sqft,7,Common,39500.0,158000.0,754.3161668354171,0
206,350000.0,Meadowlands,Silverglen,1834.0,14277.0,sqft,5,Gleaming,70000.0,280000.0,1336.7628273032708,0
207,189900.0,Meadowlands,Duskwood,1253.0,13830.0,sqft,5,Common,37980.0,151920.0,725.2893168711174,1
208,157500.0,Meadowlands,Dragonspire,787.0,10533.0,sqft,6,Common,31500.0,126000.0,601.5432722864717,1
209,334000.0,Meadowlands,Glimmerwood,664.0,11025.0,sqft,5,Gleaming,66800.0,267200.0,1275.6536694836927,0
210,186800.0,Meadowlands,Brightforge,1076.0,11024.0,sqft,5,Gleaming,37360.0,149440.0,713.4494175435742,1
211,175000.0,Meadowlands,Dragonspire,1300.0,9900.0,sqft,5,Gleaming,35000.0,140000.0,668.3814136516354,1
212,135000.0,Meadowlands,Dragonspire,1149.0,8064.0,sqft,7,Common,27000.0,108000.0,515.6085191026901,1
213,142000.0,Meadowlands,Dragonspire,887.0,11556.0,sqft,9,Common,28400.0,113600.0,542.3437756487555,1
214,189500.0,Meadowlands,Duskwood,1253.0,7984.0,sqft,5,Gleaming,37900.0,151600.0,723.761587925628,1
215,200000.0,Meadowlands,Windwhisper,1298.0,12798.0,sqft,5,Common,40000.0,160000.0,763.8644727447262,0
216,140000.0,GnomeBurough,Petalbridge,719.0,7200.0,sqft,5,Common,28000.0,112000.0,534.7051309213083,1
217,65000.0,GnomeBurough,Mystvale,664.0,9000.0,sqft,6,Common,13000.0,52000.0,248.25595364203596,1
218,132000.0,Meadowlands,Emberfall,664.0,10366.0,sqft,7,Common,26400.0,105600.0,504.1505520115192,1
219,234500.0,AetherIsles,Wyverncliff,1194.0,8736.0,sqft,5,Gleaming,46900.0,187600.0,895.6310942931913,0
220,134000.0,GnomeBurough,Wolfsbane,878.0,4224.0,sqft,5,Common,26800.0,107200.0,511.7891967389665,1
221,382500.0,Meadowlands,Silverglen,1692.0,15262.0,sqft,5,Gleaming,76500.0,306000.0,1460.890804124289,0
222,191500.0,Meadowlands,Riverbend,984.0,5005.0,sqft,5,Gleaming,38300.0,153200.0,731.4002326530752,1
223,230000.0,Meadowlands,Windwhisper,1523.0,17082.0,sqft,5,Common,46000.0,184000.0,878.444143656435,0
224,149000.0,GnomeBurough,Mystvale,1484.0,6876.0,sqft,5,Common,29800.0,119200.0,569.0790321948209,1
225,154000.0,Meadowlands,Dragonspire,887.0,11000.0,sqft,6,Common,30800.0,123200.0,588.1756440134391,1
