DI,TradeValue,RealmType,Enclave,LivingQuarters,ParcelSize,ParcelSizeUnit,StructuralIntegrity,ExteriorCharm,Craftsmanship,EraConstructed,NeedsRestoration
77,340000.0,AetherIsles,Wyverncliff,1896.0,11143.0,sqft,5,Gleaming,8,1714,False
78,85000.0,GnomeBurough,Wolfsbane,855.0,2592.0,sqft,3,Common,5,1560,False
79,135000.0,Meadowlands,Crystalhollow,906.0,11000.0,sqft,6,Common,5,1498,False
80,475000.0,Meadowlands,Sunspire,664.0,11778.0,sqft,5,Gleaming,9,1661,False
81,193000.0,Meadowlands,Sunspire,1096.0,8685.0,sqft,5,Common,7,1588,False
82,257000.0,Meadowlands,Thornfield,1780.0,15600.0,sqft,7,Common,5,1261,False
83,224500.0,Meadowlands,Brightforge,1107.0,9069.0,sqft,8,Gleaming,6,1510,False
84,140000.0,GnomeBurough,Petalbridge,1033.0,5700.0,sqft,6,Common,7,1017,True
85,209000.0,AetherIsles,Wyverncliff,1271.0,8127.0,sqft,5,Gleaming,7,1681,False
86,207500.0,AetherIsles,Wyverncliff,1192.0,5330.0,sqft,5,Gleaming,8,1725,False
87,179000.0,Meadowlands,Duskwood,1384.0,8123.0,sqft,5,Common,6,1697,False
88,200624.0,Meadowlands,Thornfield,1934.0,32668.0,sqft,3,Gleaming,6,1241,True
89,131500.0,GnomeBurough,Petalbridge,1380.0,12150.0,sqft,5,Common,5,1370,False
90,172500.0,Meadowlands,Nighthaven,1015.0,16500.0,sqft,5,Common,6,1396,False
91,228000.0,Meadowlands,Ravenstone,1313.0,16669.0,sqft,6,Gleaming,8,1400,False
92,270000.0,AetherIsles,Wyverncliff,664.0,10603.0,sqft,5,Gleaming,8,1696,False
93,218000.0,Meadowlands,Mossheart,1105.0,10768.0,sqft,8,Gleaming,5,1522,False
94,97000.0,GnomeBurough,Wolfsbane,1033.0,1533.0,sqft,6,Common,4,1237,True
95,110000.0,GnomeBurough,Petalbridge,756.0,9750.0,sqft,6,Common,5,1388,False
96,150000.0,Meadowlands,Mossheart,2264.0,24572.0,sqft,3,Gleaming,9,1523,False
97,116000.0,GnomeBurough,Starfall,792.0,1890.0,sqft,7,Common,6,1271,False
98,125500.0,Meadowlands,Emberfall,693.0,6173.0,sqft,6,Common,5,1380,False
99,147000.0,Meadowlands,Cloudrest,1190.0,2364.0,sqft,5,Common,6,1447,False
100,302000.0,Meadowlands,Glimmerwood,2161.0,9572.0,sqft,5,Gleaming,8,1562,False
101,233230.0,Meadowlands,Sunspire,1476.0,15611.0,sqft,5,Gleaming,8,1625,False
102,274000.0,Meadowlands,Silverglen,1167.0,12677.0,sqft,5,Enchanting,8,1651,False
103,80000.0,GnomeBurough,Wolfsbane,484.0,1477.0,sqft,4,Common,4,1394,False
104,260000.0,Meadowlands,Glimmerwood,1859.0,16059.0,sqft,5,Gleaming,8,1489,False
105,180400.0,Meadowlands,Duskwood,1126.0,8402.0,sqft,5,Common,6,1459,False
106,184000.0,Meadowlands,Duskwood,1119.0,10928.0,sqft,5,Gleaming,7,1653,False
107,189000.0,Meadowlands,Sunspire,1119.0,8199.0,sqft,5,Gleaming,7,1693,False
108,240000.0,Meadowlands,Crystalhollow,1315.0,12118.0,sqft,5,Gleaming,7,1629,False
109,118500.0,Meadowlands,Stormhold,1715.0,6204.0,sqft,5,Gleaming,4,1119,True
110,125500.0,Meadowlands,Dragonspire,664.0,6600.0,sqft,5,Common,5,1296,True
111,129000.0,Meadowlands,Emberfall,861.0,6970.0,sqft,5,Common,4,1307,False
112,165500.0,GnomeBurough,Mystvale,1503.0,9000.0,sqft,5,Common,5,1389,False
113,109500.0,GnomeBurough,Petalbridge,719.0,4485.0,sqft,7,Common,5,1022,False
114,175500.0,Meadowlands,Nighthaven,955.0,9600.0,sqft,6,Common,7,1290,True
115,190000.0,Meadowlands,Emberfall,2015.0,18890.0,sqft,5,Common,5,1456,False
116,228500.0,Meadowlands,Brightforge,1524.0,11287.0,sqft,6,Gleaming,7,1468,False
117,81000.0,Meadowlands,Shadowmere,910.0,8410.0,sqft,3,Common,5,1028,True
118,110000.0,Meadowlands,Dragonspire,686.0,9477.0,sqft,5,Common,5,1327,False
119,134000.0,Meadowlands,Crystalhollow,830.0,9187.0,sqft,5,Common,6,1527,False
120,113000.0,GnomeBurough,Stormwatch,779.0,5000.0,sqft,7,Common,6,1002,False
121,219210.0,Meadowlands,Duskwood,1433.0,14054.0,sqft,5,Gleaming,7,1724,False
122,175500.0,Meadowlands,Nighthaven,1093.0,12090.0,sqft,6,Common,6,1562,False
123,149900.0,Meadowlands,Shadowmere,1127.0,17755.0,sqft,4,Common,5,1380,False
124,146000.0,Meadowlands,Dragonspire,884.0,7000.0,sqft,4,Common,5,1313,False
125,271900.0,Meadowlands,Brightforge,1689.0,14684.0,sqft,7,Gleaming,7,1566,False
126,171900.0,AetherIsles,Wyverncliff,961.0,4017.0,sqft,5,Gleaming,7,1694,False
127,350000.0,Meadowlands,Glimmerwood,1625.0,10437.0,sqft,6,Gleaming,8,1493,False
128,75200.0,GnomeBurough,Mystvale,627.0,3672.0,sqft,7,Common,5,1157,False
129,259000.0,Meadowlands,Duskwood,1176.0,14572.0,sqft,5,Gleaming,7,1770,False
130,187000.0,Meadowlands,Sunspire,664.0,12438.0,sqft,5,Gleaming,6,1578,False
131,94500.0,GnomeBurough,Starfall,759.0,1680.0,sqft,5,Common,6,1325,False
132,109008.0,Meadowlands,Dragonspire,697.0,8593.0,sqft,6,Common,4,1282,True
133,79900.0,GnomeBurough,Stormwatch,574.0,5825.0,sqft,5,Common,4,1015,True
134,240000.0,Meadowlands,Windwhisper,1502.0,53107.0,sqft,5,Gleaming,6,1557,False
135,129500.0,Meadowlands,Crystalhollow,649.0,7599.0,sqft,6,Common,4,1526,False
136,222000.0,AetherIsles,Wyverncliff,1327.0,3830.0,sqft,5,Gleaming,6,1687,False
137,153000.0,Meadowlands,Emberfall,795.0,7703.0,sqft,8,Common,6,1492,False
138,151000.0,AetherIsles,Wyverncliff,923.0,3180.0,sqft,5,Common,7,1775,False
139,156932.0,Meadowlands,Duskwood,1086.0,8499.0,sqft,5,Common,6,1691,False
140,385000.0,Meadowlands,Silverglen,1603.0,14803.0,sqft,5,Enchanting,10,1675,False
141,141000.0,GnomeBurough,Mystvale,934.0,7000.0,sqft,7,Common,6,1129,False
142,239900.0,Meadowlands,Sunspire,1129.0,9178.0,sqft,5,Gleaming,8,1708,False
143,76000.0,GnomeBurough,Wolfsbane,839.0,1476.0,sqft,7,Common,4,1382,False
144,158900.0,Meadowlands,Windwhisper,664.0,12000.0,sqft,5,Common,6,1286,True
145,84900.0,Meadowlands,Shadowmere,715.0,11100.0,sqft,7,Common,4,1197,False
146,200000.0,Meadowlands,Dragonspire,2026.0,11643.0,sqft,5,Common,5,1255,True
147,213000.0,Meadowlands,Duskwood,1527.0,8396.0,sqft,5,Gleaming,7,1791,False
148,63000.0,Meadowlands,Shadowmere,855.0,9780.0,sqft,3,Common,5,1093,True
149,165000.0,AetherIsles,Wyverncliff,923.0,3180.0,sqft,5,Gleaming,6,1673,False
150,260000.0,AetherIsles,Wyverncliff,1144.0,4835.0,sqft,5,Gleaming,7,1651,False
151,173000.0,Meadowlands,Sunspire,1093.0,11646.0,sqft,5,Gleaming,6,1624,False
152,246000.0,Meadowlands,Thornfield,1266.0,3811.0,sqft,5,Gleaming,8,1780,False
153,446261.0,Meadowlands,Silverglen,2086.0,14948.0,sqft,5,Enchanting,9,1785,False
154,392000.0,Meadowlands,Riverbend,1091.0,8089.0,sqft,6,Gleaming,8,1695,False
155,85000.0,GnomeBurough,Petalbridge,877.0,5925.0,sqft,6,Common,4,1147,True
156,136000.0,Meadowlands,Crystalhollow,979.0,10475.0,sqft,5,Common,5,1530,False
157,105500.0,GnomeBurough,Starfall,839.0,2760.0,sqft,5,Common,6,1319,False
158,242500.0,Meadowlands,Crystalhollow,1249.0,23580.0,sqft,6,Common,6,1477,False
159,217000.0,Meadowlands,Sunspire,1368.0,13426.0,sqft,5,Gleaming,7,1520,False
160,155000.0,Meadowlands,Shadowmere,841.0,10452.0,sqft,5,Common,6,1241,True
161,136000.0,Meadowlands,Dragonspire,1378.0,9000.0,sqft,5,Common,5,1221,True
162,84500.0,Meadowlands,Crystalhollow,876.0,17217.0,sqft,5,Common,5,1694,False
163,177000.0,AetherIsles,Wyverncliff,1173.0,2117.0,sqft,5,Gleaming,6,1624,False
164,179781.0,Meadowlands,Ravenstone,933.0,9803.0,sqft,5,Gleaming,7,1632,False
165,290941.0,Meadowlands,Silverglen,664.0,12883.0,sqft,5,Gleaming,8,1602,False
166,107000.0,Meadowlands,Shadowmere,859.0,7819.0,sqft,5,Common,6,1540,False
167,105900.0,GnomeBurough,Petalbridge,553.0,8520.0,sqft,8,Common,6,1167,False
168,410000.0,Meadowlands,Ravenstone,1566.0,13438.0,sqft,5,Enchanting,9,1659,False
169,192500.0,Meadowlands,Sunspire,1366.0,14006.0,sqft,5,Gleaming,7,1762,False
170,261329.0,AetherIsles,Wyverncliff,1218.0,10440.0,sqft,5,Enchanting,8,1606,False
171,87550.0,GnomeBurough,Wolfsbane,839.0,1533.0,sqft,5,Common,4,1369,False
172,130000.0,Meadowlands,Shadowmere,1313.0,3363.0,sqft,5,Gleaming,7,1661,False
173,119000.0,GnomeBurough,Stormwatch,695.0,6000.0,sqft,7,Gleaming,6,1153,False
174,170440.0,Meadowlands,Duskwood,1119.0,10237.0,sqft,5,Gleaming,6,1693,False
175,80000.0,Meadowlands,Shadowmere,710.0,12180.0,sqft,4,Common,4,1017,True
176,107400.0,GnomeBurough,Petalbridge,1234.0,5790.0,sqft,6,Gleaming,3,1051,True
177,80900.0,GnomeBurough,Mystvale,806.0,5150.0,sqft,7,Common,4,1023,False
178,96000.0,Meadowlands,Shadowmere,1047.0,7550.0,sqft,5,Modest,4,1121,True
179,181000.0,Meadowlands,Dreamweaver,1156.0,3182.0,sqft,5,Gleaming,7,1632,False
180,230000.0,Meadowlands,Sunspire,664.0,12420.0,sqft,5,Gleaming,7,1672,False
181,119000.0,Meadowlands,Dragonspire,759.0,7200.0,sqft,7,Common,5,1205,False
182,52000.0,GnomeBurough,Stormwatch,560.0,4130.0,sqft,6,Gleaming,3,1014,True
183,136500.0,Meadowlands,Dragonspire,904.0,8856.0,sqft,4,Common,5,1236,True
184,172000.0,Meadowlands,Crystalhollow,1513.0,11075.0,sqft,4,Common,5,1353,False
185,110000.0,GnomeBurough,Petalbridge,1063.0,11800.0,sqft,7,Common,4,1123,False
186,395192.0,Meadowlands,Silverglen,1492.0,10159.0,sqft,5,Enchanting,9,1744,False
187,126000.0,GnomeBurough,Mystvale,706.0,7000.0,sqft,8,Common,6,1116,False
188,132000.0,Meadowlands,Dragonspire,713.0,13300.0,sqft,7,Common,5,1318,False
189,123600.0,Meadowlands,Sunspire,761.0,8070.0,sqft,5,Common,4,1589,False
190,222500.0,Meadowlands,Duskwood,1565.0,9505.0,sqft,5,Gleaming,7,1770,False
191,225000.0,Meadowlands,Duskwood,1333.0,12394.0,sqft,5,Gleaming,7,1637,False
192,132000.0,Meadowlands,Dragonspire,941.0,8064.0,sqft,8,Common,6,1130,False
193,110000.0,Meadowlands,Sunspire,710.0,7990.0,sqft,6,Common,5,1488,False
194,149900.0,Meadowlands,Shadowmere,1237.0,9525.0,sqft,5,Common,6,1374,False
195,114000.0,Meadowlands,Shadowmere,664.0,11200.0,sqft,3,Common,5,1230,True
196,205000.0,Meadowlands,Silverglen,1053.0,7132.0,sqft,5,Gleaming,8,1795,False
197,225000.0,Meadowlands,Windwhisper,1759.0,15593.0,sqft,4,Gleaming,7,1271,True
198,185000.0,Meadowlands,Duskwood,1162.0,11207.0,sqft,5,Common,6,1522,False
199,171000.0,Meadowlands,Crystalhollow,859.0,9880.0,sqft,6,Common,6,1443,False
200,105000.0,GnomeBurough,Stormwatch,1032.0,6000.0,sqft,5,Common,6,1161,True
201,315000.0,Meadowlands,Ravenstone,1413.0,14601.0,sqft,5,Enchanting,9,1696,False
202,360000.0,Meadowlands,Silverglen,1495.0,12378.0,sqft,5,Gleaming,9,1671,False
203,127500.0,GnomeBurough,Mystvale,799.0,7200.0,sqft,7,Common,6,1105,False
204,137000.0,Meadowlands,Thornfield,944.0,7155.0,sqft,8,Common,7,1047,False
205,197500.0,Meadowlands,Nighthaven,1436.0,10304.0,sqft,7,Common,5,1408,False
206,350000.0,Meadowlands,Silverglen,1834.0,14277.0,sqft,5,Gleaming,8,1746,False
207,189900.0,Meadowlands,Duskwood,1253.0,13830.0,sqft,5,Common,5,1570,False
208,157500.0,Meadowlands,Dragonspire,787.0,10533.0,sqft,6,Common,6,1205,True
209,334000.0,Meadowlands,Glimmerwood,664.0,11025.0,sqft,5,Gleaming,8,1580,False
210,186800.0,Meadowlands,Brightforge,1076.0,11024.0,sqft,5,Gleaming,7,1755,False
211,175000.0,Meadowlands,Dragonspire,1300.0,9900.0,sqft,5,Gleaming,6,1235,True
212,135000.0,Meadowlands,Dragonspire,1149.0,8064.0,sqft,7,Common,6,1137,False
213,142000.0,Meadowlands,Dragonspire,887.0,11556.0,sqft,9,Common,5,1350,False
214,189500.0,Meadowlands,Duskwood,1253.0,7984.0,sqft,5,Gleaming,7,1716,False
215,200000.0,Meadowlands,Windwhisper,1298.0,12798.0,sqft,5,Common,6,1574,False
216,140000.0,GnomeBurough,Petalbridge,719.0,7200.0,sqft,5,Common,5,1587,False
217,65000.0,GnomeBurough,Mystvale,664.0,9000.0,sqft,6,Common,4,1137,True
218,132000.0,Meadowlands,Emberfall,664.0,10366.0,sqft,7,Common,6,1228,False
219,234500.0,AetherIsles,Wyverncliff,1194.0,8736.0,sqft,5,Gleaming,7,1660,False
220,134000.0,GnomeBurough,Wolfsbane,878.0,4224.0,sqft,5,Common,5,1477,False
221,382500.0,Meadowlands,Silverglen,1692.0,15262.0,sqft,5,Gleaming,8,1796,False
222,191500.0,Meadowlands,Riverbend,984.0,5005.0,sqft,5,Gleaming,8,1408,False
223,230000.0,Meadowlands,Windwhisper,1523.0,17082.0,sqft,5,Common,6,1520,False
224,149000.0,GnomeBurough,Mystvale,1484.0,6876.0,sqft,5,Common,6,1095,True
225,154000.0,Meadowlands,Dragonspire,887.0,11000.0,sqft,6,Common,5,1215,True
226,316000.0,Meadowlands,Silverglen,1793.0,10574.0,sqft,5,Gleaming,8,1776,False
227,157000.0,GnomeBurough,Petalbridge,1355.0,7200.0,sqft,7,Common,7,1099,False
228,105000.0,Meadowlands,Dragonspire,689.0,11622.0,sqft,6,Common,5,1320,False
229,116000.0,Meadowlands,Dragonspire,709.0,9770.0,sqft,5,Common,5,1258,True
230,138500.0,Meadowlands,Dragonspire,809.0,8400.0,sqft,5,Common,5,1389,False
231,284500.0,Meadowlands,Glimmerwood,1691.0,9660.0,sqft,5,Gleaming,8,1478,False
232,300000.0,Meadowlands,Crystalhollow,1563.0,23730.0,sqft,5,Gleaming,7,1433,False
233,385000.0,Meadowlands,Mossheart,1416.0,50271.0,sqft,5,Gleaming,9,1599,False
234,221800.0,Meadowlands,Sunspire,964.0,10324.0,sqft,5,Gleaming,8,1643,False
235,100000.0,Meadowlands,Stormhold,1281.0,9839.0,sqft,2,Common,5,1074,True
236,159500.0,Meadowlands,Dragonspire,918.0,8910.0,sqft,6,Common,6,1207,True
237,161000.0,GnomeBurough,Petalbridge,1281.0,5100.0,sqft,7,Common,8,1162,False
238,204750.0,Meadowlands,Sunspire,1373.0,9337.0,sqft,5,Common,6,1592,False
239,159900.0,Meadowlands,Shadowmere,1160.0,9571.0,sqft,6,Common,5,1313,False
240,81300.0,GnomeBurough,Stormwatch,621.0,6120.0,sqft,6,Common,5,1170,True
241,109500.0,Meadowlands,Dragonspire,799.0,7200.0,sqft,7,Common,5,1355,False
242,153500.0,Meadowlands,Nighthaven,826.0,10140.0,sqft,6,Common,5,1500,False
243,204900.0,Meadowlands,Sunspire,1152.0,8990.0,sqft,5,Gleaming,7,1724,False
244,248000.0,Meadowlands,Glimmerwood,1757.0,11000.0,sqft,5,Gleaming,8,1705,False
245,150000.0,Meadowlands,Dragonspire,809.0,8973.0,sqft,7,Common,5,1364,False
246,246900.0,Meadowlands,Sunspire,1031.0,17227.0,sqft,5,Gleaming,8,1532,False
247,133000.0,Meadowlands,Dragonspire,589.0,4058.0,sqft,5,Common,7,1404,False
248,285000.0,Meadowlands,Silverglen,664.0,11999.0,sqft,5,Gleaming,8,1717,False
249,144000.0,GnomeBurough,Petalbridge,812.0,6979.0,sqft,5,Common,6,1568,False
250,250000.0,AetherIsles,Wyverncliff,1532.0,9375.0,sqft,5,Gleaming,8,1723,False
251,89500.0,Meadowlands,Emberfall,767.0,9000.0,sqft,7,Modest,4,1189,False
252,245500.0,Meadowlands,Mossheart,990.0,14963.0,sqft,5,Gleaming,8,1502,False
253,112500.0,Meadowlands,Dragonspire,756.0,6390.0,sqft,7,Common,6,1247,False
254,301000.0,AetherIsles,Wyverncliff,664.0,8010.0,sqft,5,Gleaming,8,1795,False
255,228500.0,Meadowlands,Crystalhollow,1299.0,9990.0,sqft,5,Common,4,1492,False
256,185000.0,Meadowlands,Duskwood,1130.0,9765.0,sqft,8,Enchanting,6,1408,False
257,137500.0,GnomeBurough,Stormwatch,1163.0,6120.0,sqft,8,Common,5,1032,False
258,196500.0,Meadowlands,Nighthaven,1318.0,10421.0,sqft,5,Common,7,1490,False
259,171500.0,Meadowlands,Duskwood,1031.0,10176.0,sqft,5,Common,7,1571,False
260,185500.0,Meadowlands,Sunspire,1087.0,8773.0,sqft,5,Gleaming,7,1671,False
261,247900.0,Meadowlands,Riverbend,1293.0,6264.0,sqft,5,Gleaming,8,1434,False
262,251000.0,Meadowlands,Riverbend,1270.0,5330.0,sqft,5,Gleaming,8,1774,False
263,140500.0,Meadowlands,Dragonspire,913.0,14357.0,sqft,5,Common,5,1239,True
264,153900.0,Meadowlands,Brightforge,922.0,7892.0,sqft,5,Gleaming,6,1523,False
265,279500.0,Meadowlands,Sunspire,1406.0,12782.0,sqft,5,Gleaming,8,1709,False
266,205000.0,Meadowlands,Brightforge,1623.0,8880.0,sqft,5,Gleaming,7,1432,False
267,233500.0,Meadowlands,Windwhisper,1353.0,16698.0,sqft,5,Gleaming,7,1452,False
268,127000.0,GnomeBurough,Stormwatch,963.0,7438.0,sqft,8,Common,5,1188,False
269,126000.0,GnomeBurough,Mystvale,1273.0,6000.0,sqft,5,Modest,5,1337,False
270,180000.0,Meadowlands,Duskwood,1099.0,7750.0,sqft,5,Common,7,1767,False
271,150000.0,Meadowlands,Sunspire,789.0,15240.0,sqft,8,Gleaming,5,1400,False
272,190500.0,Meadowlands,Brightforge,1289.0,8450.0,sqft,5,Gleaming,6,1704,False
273,137000.0,GnomeBurough,Petalbridge,1383.0,9639.0,sqft,8,Common,4,1074,False
274,207500.0,Meadowlands,Riverbend,1607.0,5062.0,sqft,5,Gleaming,7,1585,False
275,129900.0,Meadowlands,Dragonspire,664.0,9100.0,sqft,5,Common,5,1296,True
276,105000.0,GnomeBurough,Stormwatch,673.0,6120.0,sqft,7,Common,5,1131,False
277,169500.0,Meadowlands,Dragonspire,1393.0,7590.0,sqft,5,Common,5,1228,True
278,185000.0,AetherIsles,Wyverncliff,970.0,7200.0,sqft,5,Gleaming,6,1652,False
279,37900.0,GnomeBurough,Petalbridge,744.0,5925.0,sqft,6,Common,3,1193,True
280,159895.0,Meadowlands,Dreamweaver,973.0,3182.0,sqft,5,Gleaming,7,1700,False
281,119000.0,GnomeBurough,Stormwatch,729.0,6000.0,sqft,7,Common,5,1159,False
282,290000.0,Meadowlands,Glimmerwood,1943.0,10120.0,sqft,5,Gleaming,8,1428,False
283,132000.0,GnomeBurough,Stormwatch,1016.0,6240.0,sqft,8,Common,5,1149,False
284,153000.0,Meadowlands,Dragonspire,1004.0,8712.0,sqft,7,Common,5,1271,False
285,130000.0,GnomeBurough,Petalbridge,824.0,7200.0,sqft,8,Common,5,1116,False
286,584500.0,Meadowlands,Glimmerwood,2692.0,17242.0,sqft,5,Gleaming,9,1446,False
287,107000.0,Meadowlands,Shadowmere,1283.0,8707.0,sqft,5,Common,4,1069,True
288,87000.0,GnomeBurough,Stormwatch,664.0,5000.0,sqft,7,Common,4,1021,False
